Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,2019_UDDHP_28424_1,MCK/TEND/19/76,DEVELOPMENT OF PARKING NEAR MONAL CAFE AT DHALPUR,1.0,119680.0,MNBN Enterprises,INR,"20,427,236",Vice President Gopal Kishan Mahant,Internal,Vice President Gopal Kishan Mahant EO MC Kullu JE MC Kullu,Sachin Thakur,23-May-2019 05:06 PM,finsummary_40815.pdf (195.58 KB),Shri Gopal Krishan Mahant,Internal,Vice President Shri Gopal Krishan Mahant EO MC Kullu and JE MC Kullu,Tej Singh Thakur,01-Apr-2019 02:12 PM,01-Apr-2019 03:00 PM,techsummary_40815.pdf (28.29 KB),1.0,119652.0,AMIT SETH CONTRACTOR,24-Mar-2019 11:16 AM,Not Admitted-Finance,Not qualified for AOC,23-May-2019 04:08 PM,Finance,Technically and Financially bid accepted,Sachin Thakur,23-May-2019 04:08 PM,finance_40815.pdf,BOQ Comparative Chart,Technical,The bidders were found to be technically qualified,Tej Singh Thakur,01-Apr-2019 02:09 PM,technical_40815.pdf,24-May-2019,"INR 20,427,236",360.0,Sachin Thakur,24-May-2019 11:15 AM,MonalCafeParking.pdf (661.00 KB),Contract Awarded,AOC,1.0,DD - Demand Draft,"3,08,607",No,fixed,,EO MC KULLU,MC KULLU,12-Mar-2019 04:00 PM,25-Mar-2019 04:00 PM,12-Mar-2019 04:00 PM,25-Mar-2019 12:00 PM,12-Mar-2019 04:00 PM ,16-Mar-2019 03:00 PM ,12-Mar-2019 04:00 PM,25-Mar-2019 12:00 PM,01-Apr-2019 03:00 PM,EO MC KULLU,EO MC KULLU,DEVELOPMENT OF PARKING NEAR MONAL CAFE AT DHALPUR,DEVELOPMENT OF PARKING NEAR MONAL CAFE AT DHALPUR,Please refer Tender documents. ,NA ,"1,54,30,341",Civil Works,NA ,Tender,180.0,360.0,KULLU,175101.0,M.C. Kullu ,M.C. Kullu ,16-Mar-2019 03:00 PM ,MC KULLU,No ,No,500.0,EO MC KULLU,MC KULLU,Yes,1.0,Fee/PreQual/Technical,.pdf,ITB,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,MCK/TEND/19/76,2019_UDDHP_28424_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,119680.0,MNBN Enterprises,24-Mar-2019 10:18 PM,Accepted-AOC,L1,24-May-2019 11:15 AM,,,,,,,,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL SPECIFICATIONS,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER NOTICE,3,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DRAWINGS,4,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,5,Financial Details ,P/ L and Balance Sheet 2008-2009 ,P/ L and Balance Sheet 2008-2009 ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,P/ L and Balance Sheet 2009-2010 ,P/ L and Balance Sheet 2009-2010 ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Financial Details ,P/L and Balance Sheet 2010-2011 ,P/L and Balance Sheet 2010-2011 ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,AOC
