Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
EE Hamirpur,Executive Engineer HPPWD Hamirpur,500.0,EE Hamirpur,EE Hamirpur,No,Annual Maintenance Plan for the Year 2018-2019 VR roads under Sujanpur Sub-Division,1. Sujanpur Hamirpur via Kot Chouri Km. 15/0 to 16/0 DRRP No. 0301VR0002,Please refer Tender documents. ,NA ,"7,49,920",Civil Works - Roads,NA ,Tender,120.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"15,000",No,fixed,,EE Hamirpur,EE Hamirpur,08-Jun-2018 06:00 PM,15-Jun-2018 11:30 AM,08-Jun-2018 06:00 PM,14-Jun-2018 02:00 PM,NA ,NA ,08-Jun-2018 06:00 PM,14-Jun-2018 02:00 PM,18-Jun-2018 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,DD - Demand Draft,PWD,AMP Sujanpur HMR via Kot Chouri Km.15/0 to 16/0,2018_PWD_21558_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,PWD,2018_PWD_21558_1,AMP Sujanpur HMR via Kot Chouri Km.15/0 to 16/0,Annual Maintenance Plan for the Year 2018-2019 VR roads under Sujanpur Sub-Division,EEHamirpur,Internal,SupdtSrDAOHDMAEtoEE,Narinder Paul Singh Chauhan,18-Jun-2018 03:35 PM,18-Jun-2018 04:30 PM,techsummary_30440.pdf (201.57 KB),EEHamirpur,Internal,SupstHDMSrDAOAEtoEE,Santosh Kumar Katoch,29-Apr-2019 04:34 PM,finsummary_30440.pdf (689.86 KB),09-May-2019,"INR 867,756",60.0,Santosh Kumar Katoch,08-May-2019 03:44 PM,21558A.pdf (736.00 KB),Award,1.0,86313.0,MOHINDER PAL GOVT. CONTRACTOR,INR,"906,146",Finance,Attached,Santosh Kumar Katoch,29-Apr-2019 04:19 PM,finance_30440.pdf,BOQ Comparative Chart,1.0,86319.0,MANOHAR LAL GOVT CONTRACTOR,13-Jun-2018 06:32 PM,Rejected-AOC,l2,08-May-2019 03:44 PM,Technical,Attached,Narinder Paul Singh Chauhan,18-Jun-2018 03:26 PM,technical_30440.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,86313.0,MOHINDER PAL GOVT. CONTRACTOR,13-Jun-2018 06:00 PM,Accepted-AOC,l1,08-May-2019 03:44 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,86328.0,PANKAJ KUMAR,13-Jun-2018 08:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Jun-2018 03:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders are required paver Machine and Mini Hot Plant for execution of work,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
