Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Ajay Kumar Soni,Internal,,Ajay Kumar Soni,02-May-2019 04:51 PM,finsummary_35783.pdf (164.36 KB),02-May-2019,"INR 29,357,742",510.0,Ajay Kumar Soni,02-May-2019 04:52 PM,bathlang.pdf (164.00 KB),PWD,2018_PWD_25535_1,PW/AD/Tender/2018-19-10071-78,Widening and Metalling /Tarring on Bathalang to Plog road km. 0/0 to 9/0,A. K. SONI,Internal,"DHD LEKH RAM, TENDER ASST. MANOJ KUMAR",Ajay Kumar Soni,07-Jan-2019 06:01 PM,07-Jan-2019 06:05 PM,techsummary_35783.pdf (928.30 KB),1.0,106745.0,LALIT MOHAN KASHYAP,INR,"29,357,742",Finance,Summ,Ajay Kumar Soni,02-May-2019 04:47 PM,finance_35783.pdf,BOQ Comparative Chart,Technical,SUMMARY,Ajay Kumar Soni,07-Jan-2019 05:57 PM,technical_35783.pdf,1,106473,ashish kaushal,05-Jan-2019 04:11 PM,Rejected-Technical,REJECTED,07-Jan-2019 06:01 PM,AOC,1.0,DD - Demand Draft,PWD,PW/AD/Tender/2018-19-10071-78,2018_PWD_25535_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,22-Dec-2018 01:00 PM,07-Jan-2019 11:00 AM,22-Dec-2018 01:00 PM,05-Jan-2019 06:00 PM,22-Dec-2018 01:00 PM ,05-Jan-2019 06:00 PM ,22-Dec-2018 01:00 PM,05-Jan-2019 06:00 PM,07-Jan-2019 06:05 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,"5,000",EE Arki,Arki,Yes,"3,00,000",Yes,fixed,,EE Arki,Arki,Executive Engineer,"Arki Division, HPPWD Arki",Widening and Metalling /Tarring on Bathalang to Plog road km. 0/0 to 9/0,"Widening and Metalling /Tarring on Bathalang to Plog road km. 0/0 to 9/0. (Sh-ROFD 5/7 mtrs wide including Retaining structures,Cross dranaige work,Providing and laying sub -base course, M/T works, Road side V-shape drain ,Essential Parpets etc.)",Please refer Tender documents. ,NA ,"2,66,88,648",Civil Works - Roads,NA ,Tender,90.0,510.0,arki,173211.0,NA ,NA ,NA ,Arki/Solan,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,106453,Atul Sharma,05-Jan-2019 12:55 PM,Rejected-Finance,Bidder Non Responsive,02-May-2019 04:51 PM,AOC,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,105943,Er.Ajay Rathor,05-Jan-2019 10:21 AM,Rejected-Finance,Bidder Non Responsive,02-May-2019 04:51 PM,AOC,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,106160,Jarnail Singh Pannu,01-Jan-2019 05:25 PM,Rejected-Finance,Bidder Non Responsive,02-May-2019 04:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,106741,kapoor sanjee,05-Jan-2019 05:39 PM,Rejected-Finance,Bidder Non Responsive,02-May-2019 04:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATE and WORK IN HAND CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,106745,LALIT MOHAN KASHYAP,05-Jan-2019 02:51 PM,Accepted-AOC,L1,02-May-2019 04:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,106843,M/S SUKHDEV SHARMA CONTRACTOR,05-Jan-2019 05:13 PM,Rejected-Technical,REJECTED,07-Jan-2019 06:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,106096,RAJENDER PAL THAKUR,04-Jan-2019 05:47 PM,Rejected-Finance,Bidder Non Responsive,02-May-2019 04:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Last Five year annual Turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,106500,R and B Constructions,04-Jan-2019 12:48 PM,Rejected-Finance,Bidder Non Responsive,02-May-2019 04:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,105721,Satish Kumar Vij,04-Jan-2019 10:15 PM,Rejected-Technical,REJECTED,07-Jan-2019 06:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
