Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.3,Bank Name,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
14-Dec-2023,"INR 218,918,781",365.0,Rajinder Singh,18-Dec-2023 10:48 AM,award0to6.pdf (56.00 KB),"Widening, strengthening and upgradation of road from Rangas to Bagchal via Mehre Barsar road from Km. 0/0 to 91/220",Chief Engineer,Internal,"SE(D) HPPWD Hamirpur, SE 8th circle HPPWD Hamirpur, EE HPPWD Division Barsar, Deputy Controller HPPWD HZ Hamirpur",Rajinder Singh,09-Nov-2023 01:09 PM,finsummary_119034.pdf (1077.04 KB),Executive Enginner,Internal,updt HDM AE DAO,Rajinder Singh,18-Oct-2023 04:58 PM,23-Oct-2023 10:30 AM,techsummary_119034.pdf (329.13 KB),PWD,2023_PWD_79897_1,Widening strengthening upgradation Nadaun Bhagchal,"Widening, strengthening and upgradation of road from Rangas to Bagchal via Mehre Barsar road from Km. 0/0 to 91/220",1.0,Tender Revocation,Tender Revocation,09-Nov-2023 12:24 PM,corrigendum.pdf ,83.78,Financial Opening,Technical,Tech bid opening summary,Rajinder Singh,13-Oct-2023 11:58 AM,technical_119034.pdf,1.0,377682.0,Atul Sharma,12-Oct-2023 05:58 PM,Rejected-Finance,L 3,09-Nov-2023,1.0,377623.0,S.S.Chauhans Construction Private Limted,INR,"146,303,421",Finance,Financial bid opening summary,Rajinder Singh,09-Nov-2023 12:49 PM,finance_119034.pdf,BOQ Comparative Chart,1.0,ICICI BANK,1.0,Regarding More then 2 works,Other,,"Widening, strengthening and upgradation of road from Rangas to Bagchal via Mehre Barsar road from Km. 0/0 to 91/220","Earth work, site clearance, sub-base, base course , Surface courses (Bituminous), drain, Cross drainage, R/B/Wall, W-Metal beam, road signs, Parapets, Cement concrete pavement, Interlocking paver block, Rain shelter, Dumping yard etc. in Km. 0/0 to 6",Please refer Tender documents. ,NA ,"21,89,18,781",Civil Works - Roads,NA ,Tender,75.0,365.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,Executive Engineer,"Executive Engineer Barsar Division, HP PWD","43,78,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Bidding Document through Online Mode,PWD,Widening strengthening upgradation Nadaun Bhagchal,2023_PWD_79897_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,07-Oct-2023 06:15 PM,13-Oct-2023 11:00 AM,07-Oct-2023 06:15 PM,13-Oct-2023 10:30 AM,NA ,NA ,07-Oct-2023 06:15 PM,13-Oct-2023 10:30 AM,23-Oct-2023 10:30 AM,"12,000",Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,377697.0,MSC Roads and Bridges Private Limited,12-Oct-2023 06:21 PM,Rejected-Technical,Non Responsive,18-Oct-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per ITB Cl. as per bidding documents (Online,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,377549.0,OM PARKASH SHARMA AND SONS,12-Oct-2023 07:37 PM,Rejected-Finance,L 2,09-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration/constitution as per ITB Cl 4.3(a),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,377248.0,RAJINDER INFRASTRUCTURE PVT LTD.,13-Oct-2023 09:40 AM,Rejected-Technical,Non Responsive,18-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover for last five years certified by charted accountant SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,377623.0,S.S.Chauhans Construction Private Limted,13-Oct-2023 09:28 AM,Accepted-AOC,work awared,18-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3(a),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,377551.0,Ujjawal Singh,13-Oct-2023 09:42 AM,Rejected-Technical,Non Responsive,18-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3(b),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 4.3(g) and as per sample format in Q.I.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of key plant and equipment as per ITB Cl 4.3(d) and ITB Cl 4.5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit Limit from the Bank as per ITB Cl 4.5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 4.3(h),,,,,,,,,,,,,,,,,,,,,,,,,,,
