Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Category,Sub Category,Sub Category Description,Format/File,S.No.1.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Er. Pawan,Internal,"Er. C.L.AZAD, Sanjay Tahkur",Chuni Lal Azad,28-Nov-2022 12:45 PM,28-Nov-2022 02:00 PM,techsummary_100334.pdf (223.99 KB),Technical,Summery,Chuni Lal Azad,28-Nov-2022 12:25 PM,technical_100334.pdf,1.0,310446.0,GAURAV SHUKLA GOVT CONTRACTOR,09-Nov-2022 01:11 AM,Rejected-Finance,Due to 2nd lowest,15-Feb-2023,Finance,Summery,Pawan Kumar Garg,29-Nov-2022 11:35 AM,finance_100334.pdf,BOQ Comparative Chart,Er. Pawan,Internal,Er. C.L.AZAD,Pawan Kumar Garg,15-Feb-2023 04:12 PM,finsummary_100334.pdf (571.47 KB),PWD,2022_PWD_66712_15,PW-RD-CB-Tender/22-13069-13168 dt.6.10.22,C O Shernali to Gori Gaundhar Khanola road Km. 0.0 to 5.500,02-Dec-2023,"INR 938,225",60.0,Chuni Lal Azad,02-Dec-2023 03:42 PM,Kailash.pdf (438.00 KB),AOC,1.0,310445.0,JAGDISH CHAND,INR,"946,890",PWD,PW-RD-CB-Tender/22-13069-13168 dt.6.10.22,2022_PWD_66712_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,"18,800",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Form with UTR No.,03-Nov-2022 06:00 PM,10-Nov-2022 11:00 AM,03-Nov-2022 06:00 PM,09-Nov-2022 06:00 PM,NA ,NA ,03-Nov-2022 06:00 PM,09-Nov-2022 06:00 PM,28-Nov-2022 02:00 PM,EE HPPWD ROHRU,EE HPPWD ROHRU,C O Shernali to Gori Gaundhar Khanola road Km. 0.0 to 5.500,SH F C 5 7 mtr. wide road at Rd. 0.0 to 0.195,Please refer Tender documents. ,NA ,"9,38,225",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,500.0,Nil,Nil,No
,,,,,,,,,,,,2.0,310445.0,JAGDISH CHAND,09-Nov-2022 12:39 AM,Accepted-AOC,AOC,02-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Bid security with UTR No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,.pdf,Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,.pdf,Affidavit of correctness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,.pdf,Affidavit of Mechinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,.pdf,Work in hand detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Numbner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
