S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,500.0,Nil,Nil,No,RRD on Piplu Rachhoh road km 0000 to 21660 SH CO RWall in wire Crate at RD 18920 to 18970,RRD on Piplu Rachhoh road km 0000 to 21660 SH CO RWall in wire Crate at RD 18920 to 18970,Please refer Tender documents. ,NA ,"16,34,017",Civil Works - Roads,NA ,Tender,45.0,90.0,Rchhoh,174308.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,PWD,PW/BGN/CB/T-1/2023-24-6931-60 dated 18.11.2023,2023_PWD_81742_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,23-Nov-2023 11:00 AM,30-Nov-2023 11:00 AM,23-Nov-2023 11:30 AM,30-Nov-2023 10:00 AM,NA ,NA ,23-Nov-2023 11:30 AM,30-Nov-2023 10:00 AM,11-Dec-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form and Earnest Money (Online mode),Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"34,700",No,fixed,,Nil,Nil,PWD,2023_PWD_81742_1,PW/BGN/CB/T-1/2023-24-6931-60 dated 18.11.2023,RRD on Piplu Rachhoh road km 0000 to 21660 SH CO RWall in wire Crate at RD 18920 to 18970,Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,05-Dec-2023 01:13 PM,11-Dec-2023 11:00 AM,techsummary_121590.pdf (672.54 KB),Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,12-Dec-2023 03:18 PM,finsummary_121590.pdf (414.53 KB),12-Dec-2023,"INR 1,714,084",90.0,Dev Raj,22-Dec-2023 05:05 PM,A.pdf (778.00 KB),Award,1.0,385825.0,POONAM RANA,INR,"1,714,084",Finance,finbidopening,Dev Raj,12-Dec-2023 03:09 PM,finance_121590.pdf,BOQ Comparative Chart,1.0,385825.0,POONAM RANA,24-Nov-2023 03:17 PM,Accepted-AOC,As per Award,22-Dec-2023,Technical,techbidopening,Dev Raj,04-Dec-2023 12:53 PM,technical_121590.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration, GST Registration, EPF Registration, PAN and latest returns filed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,385820.0,SURESH KUMAR,24-Nov-2023 03:32 PM,Rejected-Finance,L2,12-Dec-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that site has been visited by the Contractor/Firm and he has studied as per the BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
