Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,"5,500",No,fixed,,Nil,Nil,A/R and M/O to Habban Dhamoon road Km 0/0 to 21/645 (SH Providing and laying WBM G-II in km 1/0 to 1/500).,A/R and M/O to Habban Dhamoon road Km 0/0 to 21/645 (SH Providing and laying WBM G-II in km 1/0 to 1/500).,Please refer Tender documents. ,NA ,"2,69,470",Civil Works - Roads,NA ,Tender,75.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,04-Feb-2023 06:00 PM,14-Feb-2023 11:00 AM,04-Feb-2023 06:00 PM,14-Feb-2023 10:30 AM,NA ,NA ,04-Feb-2023 06:00 PM,14-Feb-2023 10:30 AM,21-Feb-2023 10:40 AM,1.0,ICICI BANK,PWD,No.PW.RGH.Tender-2022-23-10829 dt.03.02.2023,2023_PWD_68129_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,350.0,Nil,Nil,No,Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II,Smt. Asha Devi HDM,Sh. Rajinder Kumar Supdt. G-II., Sh. Ghan Shyam Sr.Asstt",Ram Singh Thakur,21-Feb-2023 10:39 AM,21-Feb-2023 10:40 AM,techsummary_102606.pdf (1269.73 KB),PWD,2023_PWD_68129_3,No.PW.RGH.Tender-2022-23-10829 dt.03.02.2023,A/R and M/O to Habban Dhamoon road Km 0/0 to 21/645 (SH Providing and laying WBM G-II in km 1/0 to 1/500).,30-Dec-2023,"INR 276,518",60.0,Ram Singh Thakur,30-Dec-2023 10:27 AM,AOC.pdf (893.00 KB),work awarded to Sh. Deepak Attri Govt. Contractor,Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II,Smt. Asha Dev HDM,Sh. Rajinder Kumar Supdt. G-II., Sh. Ghan Shyam Sr.Asstt",Ram Singh Thakur,04-Mar-2023 05:05 PM,finsummary_102606.pdf (983.12 KB),Finance,SUMMARY,Ram Singh Thakur,04-Mar-2023 04:39 PM,finance_102606.pdf,BOQ Comparative Chart,1.0,322310.0,Deepak Attri,INR,"276,518",1.0,322154.0,Bhupender,13-Feb-2023 12:56 PM,Rejected-Finance,L2,04-Mar-2023,Technical,SUMMARY,Ram Singh Thakur,16-Feb-2023 11:51 AM,technical_102606.pdf
,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,322310.0,Deepak Attri,13-Feb-2023 04:30 PM,Accepted-AOC,L1,30-Dec-2023,,,,,
,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, CONTRACT CLAUSES Refer Gen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
