Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"Construction of Manjyat Patti Deora Paplota road km 0/000 to 7/145 (SH-Formation defiency i/c Retainning walls,C.D.works.Road side drain, PCC Parapets, Crash barrier, GSB, WBM G-II,III, Metalling Tarring , Sign board and Wire crates inc 5 year maint","Construction of Manjyat Patti Deora Paplota road km 0/000 to 7/145 (SH-Formation defiency i/c Retainning walls,C.D.works.Road side drain, PCC Parapets, Crash barrier, GSB, WBM G-II,III, Metalling Tarring , Sign board and Wire crates including five y",Please refer Tender documents. ,NA ,"7,21,95,943",Civil Works - Roads,NA ,Tender,75.0,510.0,Arki,173210.0,NA ,NA ,NA ,Arki,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of the Receipt Bid Security and cost of the bidding documents. clause 16.2 of ITB.,PWD,PW/AD/Tender/23-24-2516-22,2023_PWD_76337_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,"Arki Division, HPPWD Arki","14,44,000",No,fixed,,EE Arki,Arki,1.0,DATE EXTEND,Date,,1.0,DD - Demand Draft,18-Jul-2023 12:00 PM,17-Aug-2023 11:00 AM,18-Jul-2023 12:00 PM,16-Aug-2023 06:00 PM,18-Jul-2023 12:00 PM ,05-Aug-2023 06:00 PM ,18-Jul-2023 12:00 PM,16-Aug-2023 06:00 PM,04-Sep-2023 11:35 AM,"5,000",EE Arki,Arki,No,Finance,SUMMARY,Suresh Gupta,11-Dec-2023 02:43 PM,finance_114194.pdf,BOQ Comparative Chart,1.0,366065.0,RS CONSTRUCTIONS,INR,"47,814,955",1.0,366079.0,DEEPAK JOSHI,16-Aug-2023 11:47 AM,Rejected-Finance,NOT L1,11-Dec-2023,Technical,Proceeding,Ravi Kapoor,04-Sep-2023 11:28 AM,,Er Sashi Pal,Internal,EE Arki HDM Arki DAO Arki,Ravi Kapoor,04-Sep-2023 11:32 AM,04-Sep-2023 11:35 AM,techsummary_114194.pdf (355.94 KB),PWD,2023_PWD_76337_1,PW/AD/Tender/23-24-2516-22,"Construction of Manjyat Patti Deora Paplota road km 0/000 to 7/145 (SH-Formation defiency i/c Retainning walls,C.D.works.Road side drain, PCC Parapets, Crash barrier, GSB, WBM G-II,III, Metalling Tarring , Sign board and Wire crates inc 5 year maint",11-Dec-2023,"INR 47,814,955",510.0,Suresh Gupta,11-Dec-2023 02:50 PM,RSCONSTAWARD.pdf (398.00 KB),ER. SHASHI PAL,Internal,"DEO, DHD, SUPTD., TA",Suresh Gupta,11-Dec-2023 02:47 PM,finsummary_114194.pdf (398.10 KB)
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the Authorized address and Mobile No.and e- mail ID,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,2.0,362680.0,lov vij govt contractor,10-Aug-2023 10:59 PM,Rejected-Finance,NOT L1,11-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the affidavit affirming that information he has furnished in the bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,3.0,366576.0,M/S SUKHDEV SHARMA CONTRACTOR,16-Aug-2023 05:06 PM,Rejected-Finance,NOT L1,11-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,"I. Form of bid for Part I,II of the bid, as per format given in section 6 (to be submitted online).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,366065.0,RS CONSTRUCTIONS,16-Aug-2023 05:56 PM,Accepted-AOC,L1,11-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate from Chartered Accountant for last five financial years with breakup of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,363889.0,Surinder Pal,15-Aug-2023 06:19 PM,Rejected-Finance,NOT L1,11-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of works executed (Clause 4.4of ITB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Works in hand (Clause 4.6 (a) as per format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration/GST/PAN/EPF and follow the other all conditions indicated in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. detail of Machinery/ Tool Plant) along with document of Machinery as per contract da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,"Last 5 year work done and financial statement as per Instructions to Bidders (ITB)4.4A (a), (b) of S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
