Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name
EE Dehra,Internal,"HDM,Supdt,DAO",Gurvachan Singh,15-Sep-2023 12:28 PM,finsummary_113938.pdf,06-Dec-2023,"INR 966,682",30.0,Arun Vashisht,06-Dec-2023 04:10 PM,204.pdf,award issued,PWD,2023_PWD_76144_2,EE Dehra letter No 2850-55 dated 3.07.2023,Construction of 6 Nos Type-II Staff quarters J/Mukhi Tehsil J/Mukhi Distt. Kangra,EE Dehra,Internal,"HDM,Supdt,DAO",Arun Vashisht,24-Aug-2023 12:03 PM,24-Aug-2023 02:30 PM,techsummary_113938.pdf,Technical,Summary,Arun Vashisht,24-Aug-2023 11:55 AM,technical_113938.pdf,Finance,Summary,Gurvachan Singh,15-Sep-2023 12:17 PM,finance_113938.pdf,500.0,Nil,Nil,No,PWD,EE Dehra letter No 2850-55 dated 3.07.2023,2023_PWD_76144_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,"26,000",No,fixed,,Nil,Nil,Construction of 6 Nos Type-II Staff quarters J/Mukhi Tehsil J/Mukhi Distt. Kangra,Construction of Boundary wall,Please refer to tender documents ,NA ,"12,81,964",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,14-Jul-2023 10:00 AM,21-Jul-2023 11:30 AM,14-Jul-2023 10:00 AM,20-Jul-2023 06:00 PM,NA ,NA ,14-Jul-2023 10:00 AM,20-Jul-2023 06:00 PM,24-Aug-2023 02:30 PM,Executive Engineer,HPPWD Division Dehra,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
