Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
16-Feb-2023 10:00 AM,24-Feb-2023 11:30 AM,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,NA ,NA ,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,04-Mar-2023 12:50 PM,"53,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,"1,500",Nil,Nil,No,Periodic Renewal on Surani to Gandwal Road for the year 2023-24 under PMGSY INCENTIVE,Providing and laying 30 mm thick Bituminous Concrete with Paver Finisher on Km. 0/00 to 1/00 and 1/00 to 2/00,Please refer to tender documents ,NA ,"26,21,599",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,ICICI BANK,Executive Engineer,HPPWD Division Dehra,PWD,EE Dehra letter No. 11082-87 dt. 13.02.2023,2023_PWD_68892_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE Dehra,Internal,"HDM,Supdt, DAO",Dinesh Kumar Dhiman,04-Mar-2023 12:34 PM,04-Mar-2023 12:50 PM,techsummary_103895.pdf (713.52 KB),PWD,2023_PWD_68892_1,EE Dehra letter No. 11082-87 dt. 13.02.2023,Periodic Renewal on Surani to Gandwal Road for the year 2023-24 under PMGSY INCENTIVE,06-Dec-2023,"INR 2,146,170",30.0,Arun Vashisht,06-Dec-2023 03:43 PM,8.pdf (967.00 KB),award issued,EE Dehra,Internal,"Supdt., HDM, DAO",Gurvachan Singh,19-Apr-2023 01:57 PM,finsummary_103895.pdf (1017.70 KB),1.0,326993.0,aditya rana,23-Feb-2023 05:35 PM,Rejected-Finance,Highest Bidder,19-Apr-2023,Technical,Summary,Dinesh Kumar Dhiman,04-Mar-2023 12:28 PM,technical_103895.pdf,Finance,Summary,Gurvachan Singh,19-Apr-2023 01:54 PM,finance_103895.pdf,BOQ Comparative Chart,1.0,325893.0,DEEPAK JOSHI,INR,"2,146,170"
,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,325893.0,DEEPAK JOSHI,23-Feb-2023 05:22 PM,Accepted-AOC,award issued,06-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,327261.0,rajat thakur govt contractor,23-Feb-2023 12:58 PM,Rejected-Finance,Highest Bidder,19-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,328248.0,Sanjal Sharma,23-Feb-2023 05:53 PM,Rejected-Finance,Highest Bidder,19-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
