Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
01-Oct-2022 05:00 PM,07-Oct-2022 11:00 AM,01-Oct-2022 05:00 PM,07-Oct-2022 10:30 AM,NA ,NA ,01-Oct-2022 05:00 PM,07-Oct-2022 10:30 AM,14-Oct-2022 02:15 PM,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,1.0,ICICI BANK,350.0,Nil,Nil,No,PWD,PW.RGH.Tender-23-6684 dt.28.9.22,2022_PWD_65883_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,Providing and fixing THRIE Metal beam crush barring railing on Chailla Neripul Yashwant Nagar Kumarhatti road km 19/775 to 45/0 (SH P/F THRIE metal beam crush barrier under Black spot at RD 33/800 to 33/950,Providing and fixing THRIE Metal beam crush barring railing on Chailla Neripul Yashwant Nagar Kumarhatti road km 19/775 to 45/0 (SH P/F THRIE metal beam crush barrier under Black spot at RD 33/800 to 33/950,Please refer Tender documents. ,NA ,"9,91,537",Civil Works - Roads,NA ,Tender,75.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,"20,000",No,fixed,,Nil,Nil,1.0,306838.0,Deepak Attri,INR,"877,994",Finance,SUMMARY,Daleep Singh Kaundal,22-Dec-2022 12:46 PM,finance_99121.pdf,BOQ Comparative Chart,1.0,306838.0,Deepak Attri,06-Oct-2022 09:25 PM,Accepted-AOC,L1,30-Dec-2023,Technical,Summary,Prem Dass,14-Oct-2022 01:49 PM,,PWD,2022_PWD_65883_1,PW.RGH.Tender-23-6684 dt.28.9.22,Providing and fixing THRIE Metal beam crush barring railing on Chailla Neripul Yashwant Nagar Kumarhatti road km 19/775 to 45/0 (SH P/F THRIE metal beam crush barrier under Black spot at RD 33/800 to 33/950,Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II, Sh. Rajnder Kumar Supdt. G-II,Smt. Asha Devi HDM, Sh. Ghan Shyam Sr.Asstt",Daleep Singh Kaundal,14-Oct-2022 02:07 PM,14-Oct-2022 02:15 PM,techsummary_99121.pdf (1231.15 KB),Er. Ram Singh EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II, Sh. Rajnder Kumar Supdt. G-II,Smt. Asha Devi HDM, Sh. Ghan Shyam Sr.Asstt.",Daleep Singh Kaundal,22-Dec-2022 12:56 PM,finsummary_99121.pdf (724.60 KB),30-Dec-2023,"INR 877,994",60.0,Ram Singh Thakur,30-Dec-2023 10:21 AM,AOC.pdf (991.00 KB),work awarded to Sh. Deepak Attri Govt. Contractor
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,306303.0,sachin chauhan,06-Oct-2022 11:00 AM,Rejected-Finance,L2,22-Dec-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,306814.0,V2N Construction,06-Oct-2022 08:46 PM,Rejected-Technical,Not Fulfill the qualifying the criteria,14-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,306775.0,Vikram Thakur,06-Oct-2022 07:44 PM,Rejected-Finance,L3,22-Dec-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, F-8 Refer General Rule",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
