Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
PWD,No PW OSDN 2569-71 dt 09.06.2023,2023_PWD_75328_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Restoration of rain damages on Runa Jundwa road km 0/00 to 5/575 SH C/O PCC retaining Wall at RD 3/925 to 3/947,Restoration of rain damages on Runa Jundwa road km 0/00 to 5/575 SH C/O PCC retaining Wall at RD 3/925 to 3/947,Please refer Tender documents. ,NA ,"9,00,146",Civil Works,NA ,Tender,90.0,60.0,Nirmand,172023.0,NA ,NA ,NA ,EE Nirmand,No ,No,21-Jun-2023 05:30 PM,27-Jun-2023 11:00 AM,21-Jun-2023 05:35 PM,27-Jun-2023 09:00 AM,NA ,NA ,21-Jun-2023 05:35 PM,27-Jun-2023 09:00 AM,03-Jul-2023 03:15 PM,EE Nirmand,Executive Engineer outer Seraj Division HPPWD Nirmand,500.0,Nil,Nil,No,"18,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,Er Rajesh Sharma,Internal,Sh Manoj Kumar Supdt Sh Sat Pal DHD,Rajesh Sharma,03-Jul-2023 03:13 PM,03-Jul-2023 03:15 PM,techsummary_112849.pdf (384.92 KB),PWD,2023_PWD_75328_3,No PW OSDN 2569-71 dt 09.06.2023,Restoration of rain damages on Runa Jundwa road km 0/00 to 5/575 SH C/O PCC retaining Wall at RD 3/925 to 3/947,04-Dec-2023,"INR 900,145",60.0,Rajesh Sharma,04-Dec-2023 01:08 PM,AwardLetter75328_3.pdf (508.00 KB),Award Letter,EE,Internal,Sh. Satya Pal Sharma Sh. Manoj Kumar Supdt,Rajesh Sharma,04-Dec-2023 12:57 PM,finsummary_112849.pdf (384.92 KB),Finance,Summary,Rajesh Sharma,04-Dec-2023 12:52 PM,finance_112849.pdf,BOQ Comparative Chart,1.0,356736.0,PINKU RAM GOVT CONT,INR,"720,116",1.0,356971.0,Chetan Sharma,26-Jun-2023 07:50 PM,Rejected-AOC,rejected being L3,04-Dec-2023,Technical,Summary,Rajesh Sharma,03-Jul-2023 03:09 PM,technical_112849.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest money under general rule 24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,356736.0,PINKU RAM GOVT CONT,26-Jun-2023 12:47 PM,Accepted-AOC,accepted,04-Dec-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,356960.0,satya paul thakur govt cont,27-Jun-2023 06:20 AM,Rejected-AOC,rejected being L2,04-Dec-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand under general rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turn over for last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From 8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
