S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Corrigendum,Other,,Executive Engineer,"Executive Engineer, HPPWD., Division, kangra",500.0,Nil,Nil,No,PWD,5291-5340 dated 28.09.2023,2023_PWD_79517_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Repair and Restoration of Rain Damages on link road G.T.L.N.S. road km. 0/0 to 28/0,(SH- Repair of Pot Holes in km. 0/0 to 5/0),Please refer Tender documents. ,NA ,"13,36,449",Civil Works - Roads,NA ,Tender,75.0,60.0,Works,176001.0,NA ,NA ,NA ,Kangra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of tender cost and earnest money,"26,750",No,fixed,,Nil,Nil,1.0,ICICI BANK,01-Oct-2023 10:00 AM,10-Oct-2023 11:30 AM,01-Oct-2023 10:00 AM,10-Oct-2023 11:00 AM,NA ,NA ,01-Oct-2023 10:00 AM,10-Oct-2023 11:00 AM,17-Oct-2023 12:00 PM,1.0,377017.0,garg,09-Oct-2023 08:06 PM,Rejected-Finance,Rate quoted higher side of L1,30-Dec-2023,Technical,Summary,Sushil Kumar Dhadwal,17-Oct-2023 11:34 AM,technical_118511.pdf,1.0,376602.0,Pritam Singh Thakur,INR,"1,332,168",Finance,Summary,Sushil Kumar Dhadwal,30-Dec-2023 03:00 PM,finance_118511.pdf,BOQ Comparative Chart,PWD,2023_PWD_79517_1,5291-5340 dated 28.09.2023,Repair and Restoration of Rain Damages on link road G.T.L.N.S. road km. 0/0 to 28/0,Er. Sushil Kumar Dhadwal,Internal,A.E. Kangra Sr. DAO. Supdt. Gr-II Draughtsman,Sushil Kumar Dhadwal,17-Oct-2023 11:40 AM,17-Oct-2023 12:00 PM,techsummary_118511.pdf (583.45 KB),Er. Sushil Kumar Dhadwal,Internal,A.E.Kangra Sr.DAO Kangra DHD Kangra Supdt. Gr-IIKangra,Sushil Kumar Dhadwal,30-Dec-2023 03:03 PM,finsummary_118511.pdf (409.68 KB),30-Dec-2023,"INR 1,346,449",60.0,Sushil Kumar Dhadwal,30-Dec-2023 03:04 PM,Award.pdf (1557.00 KB),Award
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,376602.0,Pritam Singh Thakur,09-Oct-2023 08:26 PM,Accepted-AOC,Award,30-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of equipment to be provided by the contractor at site as per Sr. No. 6.14 refer clause No 10(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
