S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address
1.0,361714.0,DILA RAM,INR,"748,785",Finance,Summery,Chuni Lal Azad,19-Aug-2023 04:56 PM,,BOQ Comparative Chart,Technical,summery,Chuni Lal Azad,31-Jul-2023 12:54 PM,technical_113987.pdf,1.0,361714.0,DILA RAM,25-Jul-2023 10:24 AM,Accepted-AOC,AOC,04-Dec-2023,ER. Prash Chauhan,Internal,Er Satish Thakur,Chuni Lal Azad,31-Oct-2023 09:32 AM,finsummary_113987.pdf (425.71 KB),04-Dec-2023,"INR 748,785",60.0,Chuni Lal Azad,04-Dec-2023 04:56 PM,summery.pdf (608.00 KB),AOC,PWD,2023_PWD_76146_9,PW-RD-CB-Tender-22-3445-3544 dt.16.06.23,RR Dameges on Chirgaon Gushali road k.m. 0.0 to 9./00,Er. Rahul Sood,Internal,"ER.C.L.AZAD, R.P.Sharma , Naveen",Chuni Lal Azad,19-Aug-2023 03:02 PM,19-Aug-2023 03:10 PM,techsummary_113987.pdf (405.51 KB),"15,000",No,fixed,,Nil,Nil,PWD,PW-RD-CB-Tender-22-3445-3544 dt.16.06.23,2023_PWD_76146_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,20-Jul-2023 06:00 PM,28-Jul-2023 11:00 AM,20-Jul-2023 06:00 PM,27-Jul-2023 06:00 PM,NA ,NA ,20-Jul-2023 06:00 PM,27-Jul-2023 06:00 PM,19-Aug-2023 03:10 PM,RR Dameges on Chirgaon Gushali road k.m. 0.0 to 9./00,S.H C O R Wall in wire crate at R.D. 8.840 to 8.862.50 and P L Kharunja stone soling at R.D. 4.950 to 5.160,Please refer Tender documents. ,NA ,"7,48,785",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,500.0,Nil,Nil,No,1.0,ICICI BANK,EE HPPWD ROHRU,EE HPPWD ROHRU
,,,,,,,,,,,,,,,,2.0,361698.0,Jeevan Jyoti,25-Jul-2023 10:38 AM,Rejected-Finance,2nd lowest,31-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money under general rule 24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect as General rule No. 12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important doucments as specified by the stat e in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account number as per general rule 1.2B(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From 8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
