S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,Extension of time4,Date,,HPSEBL/BED/DB-Tender JOB.19,E Tendering on partial turnkey basis for providing SOP to Tubewell Damuwala and Tubewell Mandhala Upper Under Electrical SubDivision HPSEBL Barotiwala Name of Scheme Deposit,A Class Electrical License with Chief Electrical Inspector ,NA ,"8,18,234",Electrical Works,HT DTR ,Tender,180.0,45.0,Baddi,173205.0,NA ,NA ,NA ,Baddi,No ,No,590.0,Nil,Nil,No,18-Sep-2023 09:00 AM,20-Oct-2023 02:00 PM,18-Sep-2023 09:00 AM,20-Oct-2023 11:00 AM,NA ,NA ,18-Sep-2023 10:00 AM,20-Oct-2023 11:00 AM,18-Nov-2023 02:00 PM,"8,182",No,fixed,,Nil,Nil,Er. Deepak Verma,"Sr. Executive Engineer, Electrical Division, HPSEBL Baddi",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of tender cost and earnest money,HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,HPSEBL/BED/DB-Tender JOB.19,2023_HPSEB_78951_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,Finance,Financial Bid Opening Summery,Deepak Verma,05-Dec-2023 12:14 PM,finance_117699.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summery,Deepak Verma,18-Nov-2023 12:10 PM,technical_117699.pdf,05-Dec-2023,"INR 771,758",45.0,Deepak Verma,05-Dec-2023 12:43 PM,Awardjobno19.pdf (5027.00 KB),Award letter attached,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,18-Nov-2023 12:17 PM,18-Nov-2023 02:00 PM,techsummary_117699.pdf (645.49 KB),1.0,373052.0,Aman Electrical,20-Sep-2023 02:46 PM,Accepted-AOC,Award of work,05-Dec-2023,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,05-Dec-2023 12:25 PM,finsummary_117699.pdf (502.15 KB),1.0,373052.0,Aman Electrical,INR,"771,758",HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,2023_HPSEB_78951_1,HPSEBL/BED/DB-Tender JOB.19,HPSEBL/BED/DB-Tender JOB.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,A Class Electrical License with Chief Electrical Inspector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,379426.0,Dhiman Enterprises,19-Oct-2023 09:57 PM,Rejected-Finance,Rates on higher side of L 1,05-Dec-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,379443.0,M/s Aman Enterprises,19-Oct-2023 11:22 PM,Rejected-Finance,Rates on higher side of L 1,05-Dec-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,377726.0,Sharma Enterprises,19-Oct-2023 10:13 PM,Rejected-Finance,Rates on higher side of L 1,05-Dec-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate/Completion Certificate as per SBD Volume I Section III Clause No 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO No/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
