Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
1.0,Fee,.pdf,Proof of EMD,1.0,ICICI BANK,procurement of CT PT combined Units of various ratings,procurement of CT PT combined Units of various ratings,As per NIT ,"EMD For local HP based firms registered with HPSEBL is Nil and for other firms Rs. 85,680 ","85,68,000",Electrical Work/ Equipment,NA ,Tender,120.0,180.0,office of CE (MM) HPSEBL Shimla,171004.0,NA ,NA ,NA ,office of CE (MM) HPSEBL Shimla,No ,No,590.0,Nil,Nil,No,12-Jun-2023 11:00 AM,15-Jul-2023 03:00 PM,12-Jun-2023 11:00 AM,15-Jul-2023 11:00 AM,NA ,NA ,12-Jun-2023 11:00 AM,15-Jul-2023 11:00 AM,28-Jul-2023 12:00 PM,Chief Engineer (MM),CE (MM) HPSEBL Shimla,HPSEBL,CE(MM)-09/2023,2023_HPSEB_74774_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,1.0,Corrigendum No-IV,Date,,"85,680",Yes,fixed,,Nil,Nil,Chief Engineer(MM),Internal,"Sr. Executive Engineer, Assistant Engineer",Vimal Kumar,16-Dec-2023 12:14 PM,finsummary_112068.pdf (140.95 KB),HPSEBL,2023_HPSEB_74774_1,CE(MM)-09/2023,procurement of CT PT combined Units of various ratings,1.0,356706.0,M/s National Electricals,INR,"4,143,216",16-Dec-2023,"INR 8,176,734.4",180.0,Vimal Kumar,16-Dec-2023 12:24 PM,awardsummaryctpt092023.pdf (141.00 KB),Two Nos. POs placed on the frims M/s National Electricals (22kV) and M/s Continental Engineers (33kV) on dated 06.12.2023.,Finance,Price Bid opening Summary,Suraj Pandey,28-Jul-2023 01:16 PM,finance_112068.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Vimal Kumar,15-Jul-2023 03:53 PM,technical_112068.pdf,Sr. Executive Engineer,Internal,Assistant Engineer Junior Engineer,Vimal Kumar,27-Jul-2023 04:46 PM,28-Jul-2023 12:00 PM,techsummary_112068.pdf (479.17 KB),1.0,360219.0,Continental Engineers,14-Jul-2023 05:55 PM,Accepted-AOC,Quoted L-I rates for 33kV CT-PT combined units,16-Dec-2023
,,.pdf,Proof of tender fee,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,360219.0,Continental Engineers,INR,"4,033,518.4",,,,,,,,,,,,,,,,,,,,,,,,,,2.0,358662.0,KAPCO ELECTRIC PVT. LTD.,04-Jul-2023 02:59 PM,Rejected-Technical,Non-Responsive due to non acceptance of inspection clause no. 18 of technical specifications for conductance of type test,27-Jul-2023
2.0,PreQual/Technical,.pdf,"Renewed BIS , ISO Certificate, GST registration certificate, PAN Card copy, ITR and GST certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,356706.0,M/s National Electricals,26-Jun-2023 05:48 PM,Accepted-AOC,Quoted L-I rates for 22kV CT-PT combined units,16-Dec-2023
,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"GTPs, Drawings and Type test reports of offered material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of Plant Machinery Testing Equipments used for routine test to be carried out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Balance sheet of last three years, Last three years turn over duly certified by CA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Power of attorney Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.xls,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Duly signed tender documents and any other requisite documents required as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
