Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Name,Address
Finance,SUMMARY,SHASHI PAL,10-Nov-2023 12:11 PM,finance_118411.pdf,BOQ Comparative Chart,1.0,376464.0,DEEPAK JOSHI,INR,"62,684,485",Technical,SUMMARY,SHASHI PAL,12-Oct-2023 09:48 AM,technical_118411.pdf,1.0,376464.0,DEEPAK JOSHI,06-Oct-2023 04:50 PM,Accepted-AOC,L1,11-Dec-2023,SHASHI PAL,Internal,DAODHDSUPTDTA,SHASHI PAL,10-Nov-2023 12:15 PM,finsummary_118411.pdf (52.96 KB),08-Dec-2023,"INR 62,684,485",510.0,SHASHI PAL,11-Dec-2023 12:32 PM,DEEPAK.pdf (96.00 KB),PWD,2023_PWD_79432_1,PW/AD/Tender/23-24 6806-11 dt 25/9/23,"Construction of balance work Ukhoo Badal Jainagar road km 0/0 to 8/500 (SH- ROFD i/c retaining wall and B/wall.C.D.works.WBM Grade-I,II and III ,MT works ,PCC parapets ,V-shape drain, Logo board km stone in km 0/0 to 8/500) under NABARD RIDF-XXVIII",SHASHI PAL,Internal,TA SUPDT DHD DAO,SHASHI PAL,12-Oct-2023 09:50 AM,12-Oct-2023 09:55 AM,techsummary_118411.pdf (128.06 KB),"5,000",Nil,Nil,Yes,PWD,PW/AD/Tender/23-24 6806-11 dt 25/9/23,2023_PWD_79432_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of balance work Ukhoo Badal Jainagar road km 0/0 to 8/500 (SH- ROFD i/c retaining wall and B/wall.C.D.works.WBM Grade-I,II and III ,MT works ,PCC parapets ,V-shape drain, Logo board km stone in km 0/0 to 8/500) under NABARD RIDF-XXVIII","Construction of balance work Ukhoo Badal Jainagar road km 0/0 to 8/500 (SH- ROFD i/c retaining wall and B/wall.C.D.works.WBM Grade-I,II and III ,MT works ,PCC parapets ,V-shape drain, Logo board km stone in km 0/0 to 8/500) under NABARD RIDF-XXVIII",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,510.0,Arki,173210.0,NA ,NA ,NA ,Arki,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from and Earnest Money online mode through E-payment,28-Sep-2023 10:00 AM,07-Oct-2023 11:30 AM,28-Sep-2023 10:00 AM,06-Oct-2023 06:00 PM,28-Sep-2023 10:00 AM ,06-Oct-2023 06:00 PM ,28-Sep-2023 10:00 AM,06-Oct-2023 06:00 PM,12-Oct-2023 09:55 AM,"15,32,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,"Arki Division, HPPWD Arki"
,,,,,,,,,,,,,,,,2.0,376030.0,Surinder Pal,05-Oct-2023 09:05 PM,Rejected-Finance,REJECT,10-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as Per General Rule 26.2.b,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand in accordance with General Rule 24.5 strictly as per schedule F,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted HPPWD Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,
