S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Auction Initiated Status :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
1.0,corrigendum No 4,Date,,Procurement of ISI marked Single Phase Energy meters,Procurement of ISI marked Single Phase Energy meters,As per NIT ,EMD for HP based local registered firm with HPSEL is Rs. 212835 and for other is RS.462835 ,"4,62,83,550",Electronics Equipment,Emergy Meters ,Tender,120.0,75.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL, Shimla",No ,No,1.0,ICICI BANK,"4,62,835",Yes,fixed,,Nil,Nil,"1,180",Nil,Nil,No,27-Apr-2023 09:00 AM,26-May-2023 03:30 PM,27-Apr-2023 10:00 AM,26-May-2023 12:30 PM,NA ,NA ,27-Apr-2023 10:00 AM,26-May-2023 12:30 PM,13-Jun-2023 10:30 AM,HPSEBL,CE(MM)-07/2023,2023_HPSEB_72492_1,Yes,Open Tender,Tender cum Auction,Goods,3.0,No,Yes,Online,No,No,No,1.0,Fee,.pdf,Proof Of Tender Fee,Chief Engineer MM,"Office of Chief Engineer MM, HPSEBL, Shimla",Chief Engineer,Internal,Sr. Executive Engineer-I Assistant Engineer-I,Suraj Pandey,15-Dec-2023 05:52 PM,finsummary_109028.pdf (394.86 KB),1.0,346191.0,Himachal Energy Private Limited,INR,"37,130,382",HPSEBL,2023_HPSEB_72492_1,CE(MM)-07/2023,Procurement of ISI marked Single Phase Energy meters,Finance,Auto Opened,Suraj Pandey,13-Jun-2023 11:34 AM,,Yes,BOQ Comparative Chart,Technical,Technical opening Summary,Suraj Pandey,26-May-2023 04:21 PM,technical_109028.pdf,15-Dec-2023,"INR 59,110,968",75.0,Suraj Pandey,15-Dec-2023 06:01 PM,AOCSPEM07223.pdf (395.00 KB),"Two nos. purchase orders issued to the firms M/s Himachal Energy Pvt. Ltd., Solan and M/s Eppeltone Engineers Pvt Ltd. Greater Noida dated 07.12.2023",chief engineer (MM),Internal,"SE (Contracts), Sr. Executive engineer, Assistant Engineer,",Suraj Pandey,12-Jun-2023 05:54 PM,13-Jun-2023 10:30 AM,techsummary_109028.pdf (332.15 KB),1.0,346706.0,Eppeltone Engineers Pvt Ltd.,25-May-2023 01:23 PM,Accepted-AOC,Quoted L-I rates for 5-30Amp rating,15-Dec-2023
2.0,Corrigendum III,Technical Bid,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,,,,,,,,,2.0,346706.0,Eppeltone Engineers Pvt Ltd.,INR,"21,980,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,346191.0,Himachal Energy Private Limited,15-May-2023 02:39 PM,Accepted-AOC,Quoted L-I rates for 10-60Amp rating,15-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"Renewed BIS, ISO certificate, GST registration certificate, undertaking regarding e-reverse Auction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,345317.0,HPL Electric & Power Limited,15-May-2023 02:49 PM,Rejected-Finance,Not quoted L-I rates for all ratings,15-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,349670.0,Modern Transformers Pvt. Ltd.,26-May-2023 10:49 AM,Rejected-Finance,Not quoted L-I rates for 5-30Amps rating and not quoted for 10-60Amps rating.,15-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and Type test reports of offered material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,348629.0,Secure Meters Limited,26-May-2023 11:09 AM,Rejected-Finance,Not quoted L-I rates for all ratings,15-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Plant Machinery Testing Equipments used for routine test to be carried out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bal. sheet and 3 three years turn over duly certified by CA, PAN Card copy ITR GST clearance certi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly signed tender documents and any other requisite documents required as per NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate regarding land boder sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
