S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,HPPWD DIVISION KOTKHAI,"R/R Damages on Gumma Pujali Baghi Road in K.M. 0/00 to 28/545, C/o R/Wall at R.D. 7/566 to 7/580, crate wall 8/703 to 8/720, crate wall at R.D. 8/850 to 8/875","R/R Damages on Gumma Pujali Baghi Road in K.M. 0/00 to 28/545, C/o R/Wall at R.D. 7/566 to 7/580, crate wall 8/703 to 8/720, crate wall at R.D. 8/850 to 8/875",Please refer Tender documents. ,NA ,"21,52,139",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,"43,100",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,PW-KD-E-Tender/2023-24- 4724-28 Dated 26-10-2023,2023_PWD_80813_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,03-Nov-2023 11:00 AM,09-Nov-2023 11:00 AM,03-Nov-2023 11:00 AM,08-Nov-2023 06:00 PM,NA ,NA ,03-Nov-2023 11:00 AM,08-Nov-2023 06:00 PM,28-Nov-2023 05:05 PM,Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contractor",Akhil Chauhan,28-Nov-2023 05:00 PM,28-Nov-2023 05:05 PM,techsummary_120297.pdf (4216.38 KB),PWD,2023_PWD_80813_1,PW-KD-E-Tender/2023-24- 4724-28 Dated 26-10-2023,"R/R Damages on Gumma Pujali Baghi Road in K.M. 0/00 to 28/545, C/o R/Wall at R.D. 7/566 to 7/580, crate wall 8/703 to 8/720, crate wall at R.D. 8/850 to 8/875",26-Dec-2023,"INR 2,152,139",45.0,Vinod Shyam,26-Dec-2023 01:53 PM,875.pdf (875.00 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,04-Dec-2023 11:49 AM,finsummary_120297.pdf (192.89 KB),Finance,SUMMARY UPLOADED,Akhil Chauhan,04-Dec-2023 11:44 AM,finance_120297.pdf,BOQ Comparative Chart,1.0,383042.0,VIKRAM SINGH KANWAR,INR,"2,231,892",1.0,383322.0,AJAY,08-Nov-2023 04:40 PM,Rejected-Finance,L2 BIDDER,04-Dec-2023,Technical,summary uploaded,Akhil Chauhan,28-Nov-2023 04:58 PM,technical_120297.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,383042.0,VIKRAM SINGH KANWAR,07-Nov-2023 05:28 PM,Accepted-AOC,Lowest bidder to awarded the work,26-Dec-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
