Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
10-Dec-2023,"INR 779,972",365.0,Dalip singh Patial,10-Dec-2023 04:27 PM,10306-11aWARD.pdf (905.00 KB),AWARDED TO THE LOWEST BIDDER,Er. Dalip Singh Patial Executive Engineer,Internal,sUPDT. dao dRAUGHTSMAN,Dalip singh Patial,10-Dec-2023 04:26 PM,finsummary_84994.pdf (22.44 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,01-Mar-2022 03:32 PM,03-Mar-2022 11:30 AM,techsummary_84994.pdf (241.67 KB),PWD,2022_PWD_56445_1,Elect. Division HPPWD Palampur,"C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda (SH- Providing conduiting and cabling for Network, CCTV, IPPBX with accessories for A, B and C Block therein)",1.0,262271.0,Himalayaan Forth Dimension,INR,"807,570",Finance,as per uploaded document,Dalip singh Patial,19-Oct-2022 03:29 PM,finance_84994.pdf,BOQ Comparative Chart,Technical,as per uploaded document,Dalip singh Patial,01-Mar-2022 03:28 PM,technical_84994.pdf,1.0,262731.0,Aerotech Indumatica,10-Feb-2022 07:21 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2022,05-Feb-2022 05:00 PM,14-Feb-2022 11:30 AM,05-Feb-2022 05:00 PM,14-Feb-2022 10:00 AM,NA ,NA ,05-Feb-2022 05:00 PM,14-Feb-2022 10:00 AM,03-Mar-2022 11:30 AM,1.0,ICICI BANK,Executive Engineer,Electrical Division HPPWD Palampur,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,PWD,Elect. Division HPPWD Palampur,2022_PWD_56445_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda (SH- Providing conduiting and cabling for Network, CCTV, IPPBX with accessories for A, B and C Block therein)","C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda (SH- Providing conduiting and cabling for Network, CCTV, IPPBX with accessories for A, B and C Block therein)",Please refer Tender documents. ,NA ,"7,79,972",Electrical Works,NA ,Tender,120.0,365.0,Kangra at Tanda,177101.0,NA ,NA ,NA ,Palampur,No ,No,"15,600",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,262271.0,Himalayaan Forth Dimension,09-Feb-2022 03:26 PM,Accepted-AOC,l1,10-Dec-2023,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Certificate of OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,263013.0,Sourab Kuthiala,11-Feb-2022 05:42 PM,Rejected-Finance,l2,10-Dec-2023,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
