Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
23-Dec-2023,"INR 10,445,000",90.0,Mahesh Chander,14-Dec-2023 12:03 PM,loa.pdf (87.00 KB),LOA to L-1 Ms Edlipse Engineering Global Pvt Ltd,Technical,prequalification report in the form of Mom is attached herewith,Mahesh Chander,09-Feb-2023 04:00 PM,technical_100846.pdf,Finance,"A meeting of the tender committee constituted by the Chief Engineer (PCA), HPSEB Ltd. Shimla-4 vide office order No. HPSEBL/ SE(CCA)/Giri Tender (Vol-I)/2022-5972-76 Dated 27/01/2023 for opening of pricce bid was held on 09/02/2023.",Mahesh Chander,13-Feb-2023 01:47 PM,finance_100846.pdf,BOQ Comparative Chart,1.0,316544.0,Aquagreen Engineering Management Private Limited,24-Jan-2023 04:40 PM,Rejected-AOC,Not L1,14-Dec-2023,CEPCA,Internal,,Mahesh Chander,09-Feb-2023 04:12 PM,09-Feb-2023 04:15 PM,techsummary_100846.pdf (442.12 KB),HPSEBL||CE(Project-cum-ARB) Shimla||SE (CCA),2022_HPSEB_66904_1,SE(CCA)/Giri HEP/2022-2,Consultancy Services for Detailed inspection and RLA studies of Penstock and its appurtenant structures of Giri HEP.,1.0,315401.0,Edlipse Engineering Global Pvt. Ltd,INR,"10,445,000",Chief Engineer PCA,Internal,Dy Chief Engineer CCA SE Works AO FandA wing,Mahesh Chander,14-Dec-2023 11:57 AM,finsummary_100846.pdf (92.19 KB),HPSEBL||CE(Project-cum-ARB) Shimla||SE (CCA),SE(CCA)/Giri HEP/2022-2,2022_HPSEB_66904_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,360",Nil,Nil,No,24-Dec-2022 04:55 PM,06-Feb-2023 04:00 PM,24-Dec-2022 04:55 PM,06-Feb-2023 12:00 PM,NA ,NA ,24-Dec-2022 04:55 PM,06-Feb-2023 12:00 PM,09-Feb-2023 04:15 PM,1.0,Corrigendum-II,Date,,1.0,Fee/PreQual/Technical,.pdf,Past Experiance,Consultancy Services for Detailed inspection and RLA studies of Penstock and its appurtenant structures of Giri HEP.,Consultancy Services for Detailed inspection and RLA studies of Penstock and its appurtenant structures of Giri HEP.,Please refer Tender documents. ,NA ,"1,43,11,748",Power/Energy Projects/Products,Consultancy Services ,Tender,120.0,90.0,Girinagar Nahan,173031.0,NA ,NA ,NA ,Shimla,No ,No,1.0,ICICI BANK,Suerintending Engineer (CCA),"Vidyut Bhawan, HPSEBL Shimla-4","1,43,117",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,2.0,315401.0,Edlipse Engineering Global Pvt. Ltd,27-Jan-2023 10:32 AM,Accepted-AOC,L1,14-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Capability,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,
,,,,,,,,,,,,,,,,,,3.0,317362.0,Global Industrial Services,06-Feb-2023 11:17 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Personnel Capability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.0,315952.0,GULACHI ENGINEERS PRIVATE LIMITED,05-Feb-2023 02:07 PM,Rejected-AOC,Not L1,14-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Equipment Capability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No Pan No EPF No and Bank Account Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Receipt of Cost of Tender and EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Site Visit Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,JV/Partnership Doccuments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CPM/PERT/Bar Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Non-Blacklisting and adherence/acceptance of all terms and conditions of Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,
