Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Name,Address,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt. G-II, DAO",Devi Ram Chauhan,14-Dec-2023 04:04 PM,finsummary_117432.pdf (140.05 KB),14-Dec-2023,"INR 3,288,921",30.0,Devi Ram Chauhan,14-Dec-2023 04:05 PM,AOC.pdf (439.00 KB),AOC,PWD,2023_PWD_78739_2,PW-NCD-TA-NIQ-2023- 6271-99 dt. 11-09-2023,AMP for the year 2023-24 on Chowki Chandrahan Kothi Gehri road Km. 0/00 to 13/00 (HP0810MRL08931405),EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt. G-II, DAO",Devi Ram Chauhan,27-Sep-2023 11:32 AM,27-Sep-2023 11:35 AM,techsummary_117432.pdf (479.41 KB),Technical,Technical Bid Summary,Devi Ram Chauhan,26-Sep-2023 10:20 AM,technical_117432.pdf,1.0,373457.0,Nikhil Thakur,22-Sep-2023 04:51 PM,Accepted-AOC,Being L1,14-Dec-2023,1.0,373457.0,Nikhil Thakur,INR,"3,288,921",Finance,Finance Bid Summary,Devi Ram Chauhan,14-Dec-2023 04:03 PM,finance_117432.pdf,BOQ Comparative Chart,"1,500",Nil,Nil,No,"63,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender (Separately),PWD,PW-NCD-TA-NIQ-2023- 6271-99 dt. 11-09-2023,2023_PWD_78739_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,12-Sep-2023 04:00 PM,23-Sep-2023 11:30 AM,12-Sep-2023 04:00 PM,23-Sep-2023 10:30 AM,NA ,NA ,12-Sep-2023 04:00 PM,23-Sep-2023 10:30 AM,27-Sep-2023 11:35 AM,AMP for the year 2023-24 on Chowki Chandrahan Kothi Gehri road Km. 0/00 to 13/00 (HP0810MRL08931405),Providing and Laying Bituminous concrete in Km.4/00 to 6/00. Under PMGSY Incentive.,Please refer Tender documents. ,NA ,"31,62,728",Civil Works,NA ,Tender,90.0,30.0,Nerchowk,175008.0,NA ,NA ,NA ,HPPWD Division Nerchowk,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,Earnest Money (Separately),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
