Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
PWD,SD-I_CTR-Tender-2023- 25065 dt 13-03-2023,2023_PWD_71163_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,21-Mar-2023 06:00 PM,29-Mar-2023 11:00 AM,21-Mar-2023 06:00 PM,28-Mar-2023 04:00 PM,NA ,NA ,21-Mar-2023 06:00 PM,28-Mar-2023 04:00 PM,29-Mar-2023 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),"S/R of C.H.C Building at Junga (SH Repair of roofing , minor repair and replacement of W.S and S.I fitting","S/R of C.H.C Building at Junga (SH Repair of roofing , minor repair and replacement of W.S and S.I fitting",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Junga,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,ICICI BANK,"18,200",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,PWD,2023_PWD_71163_2,SD-I_CTR-Tender-2023- 25065 dt 13-03-2023,"S/R of C.H.C Building at Junga (SH Repair of roofing , minor repair and replacement of W.S and S.I fitting",ErParveenverma,Internal,ShSureshvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,29-Mar-2023 02:30 PM,29-Mar-2023 04:00 PM,techsummary_107151.pdf (240.26 KB),ErParveenverma,Internal,ShYSDMShManojKumarSupdtShAnilkumarantalsrDAO,Parveen Kumar Verma,19-Jun-2023 11:23 AM,finsummary_107151.pdf (680.76 KB),23-Dec-2023,"INR 908,227",60.0,Bhupender Singh,23-Dec-2023 04:29 PM,AOC71163_2.pdf (681.00 KB),AOC,1.0,338810.0,DIKSHIT SHARMA,28-Mar-2023 10:03 AM,Rejected-Finance,2nd Lowest,19-Jun-2023,Technical,Bid opening summary,Sudhir Kumar Gupta,29-Mar-2023 02:29 PM,technical_107151.pdf,1.0,338871.0,MANTU KUMAR GUPTA,INR,"767,451",Finance,Bid opening summary,Sudhir Kumar Gupta,29-Mar-2023 04:52 PM,finance_107151.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,338871.0,MANTU KUMAR GUPTA,27-Mar-2023 04:43 PM,Accepted-AOC,Awarded,23-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Contractor registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,338755.0,Mast Ram Sharma,27-Mar-2023 04:24 PM,Rejected-Finance,4th Lowest,19-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,339164.0,parveen thakur,28-Mar-2023 03:23 PM,Rejected-Finance,3rd Lowest,19-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,338766.0,Sanjeev Kumar,27-Mar-2023 04:35 PM,Rejected-Finance,5th Lowest,19-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"email Mobile No , and Full Address",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
