S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Bank Name,Cover No,Cover,Document Type,Description
1.0,373062.0,Aman Electrical,20-Sep-2023 03:18 PM,Accepted-AOC,Award of work,05-Dec-2023,Er. Deepak Verma,Internal,Er. Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,18-Nov-2023 12:14 PM,18-Nov-2023 02:00 PM,techsummary_117698.pdf (668.56 KB),Technical,Technical Bid Opening Summery,Deepak Verma,18-Nov-2023 12:09 PM,technical_117698.pdf,Finance,Financial Bid Opening Summery,Deepak Verma,05-Dec-2023 12:11 PM,finance_117698.pdf,BOQ Comparative Chart,05-Dec-2023,"INR 750,517",45.0,Deepak Verma,05-Dec-2023 12:37 PM,Awardjobno18.pdf (5131.00 KB),Award letter attached,1.0,373062.0,Aman Electrical,INR,"750,517",HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,2023_HPSEB_78949_1,HPSEBL/BED/DB-Tender JOB.18,HPSEBL/BED/DB-Tender JOB.18,Er. Deepak Verma,Internal,Trilok Sharma (AEE) Sh. Luv Kumar (Supdt. DA),Deepak Verma,05-Dec-2023 12:19 PM,finsummary_117698.pdf (542.47 KB),HPSEBL/BED/DB-Tender JOB.18,E Tendering on partial turnkey basis for providing SOP to Tubewell Sattiwala and Tubewell Surajpur Upper Under Electrical SubDivision HPSEBL Barotiwala Name of Scheme Deposit,A Class Electrical License with Chief Electrical Inspector ,NA ,"7,95,713",Electrical Works,HT DTR ,Tender,180.0,45.0,Baddi,173205.0,NA ,NA ,NA ,Baddi,No ,No,"7,957",No,fixed,,Nil,Nil,1.0,Extension of time4,Date,,HPSEBL||CE(OP) South||SE(OP) Solan||Sr.Xen (E) Baddi,HPSEBL/BED/DB-Tender JOB.18,2023_HPSEB_78949_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,Er. Deepak Verma,"Sr. Executive Engineer, Electrical Division, HPSEBL Baddi",18-Sep-2023 09:00 AM,20-Oct-2023 02:00 PM,18-Sep-2023 09:00 AM,20-Oct-2023 11:00 AM,NA ,NA ,18-Sep-2023 10:00 AM,20-Oct-2023 11:00 AM,18-Nov-2023 02:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of tender cost and earnest money
2.0,379419.0,Dhiman Enterprises,19-Oct-2023 09:32 PM,Rejected-Finance,Rates on higher side of L 1,05-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,A Class Electrical License with Chief Electrical Inspector
3.0,379445.0,M/s Aman Enterprises,19-Oct-2023 11:38 PM,Rejected-Finance,Rates on higher side of L 1,05-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/turnover certificate with CA Certified
4.0,379414.0,Sharma Enterprises,19-Oct-2023 09:08 PM,Rejected-Finance,Rates on higher side of L 1,05-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate/Completion Certificate as per SBD Volume I Section III Clause No 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of Ownership/Litigation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO No/ESI No.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if Applicable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
