Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
26-Dec-2023,"INR 4,288,026",45.0,Vinod Shyam,26-Dec-2023 12:32 PM,1.pdf (769.00 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Vinod Shyam,01-Dec-2023 03:08 PM,finsummary_120234.pdf (183.68 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contractor",Akhil Chauhan,28-Nov-2023 04:49 PM,28-Nov-2023 04:50 PM,techsummary_120234.pdf (3745.25 KB),PWD,2023_PWD_80767_7,PW-KD-E-Tender/2023-24-4719-23 dtd 26-10-2023,"R/R Damages on Kotkhai Deori Khaneti Deorighat road in K.M. 0/00 to 22/00, C/o, R/Wall at R.D. 16/460 to 16/498, 19/610 to 19/645, 20/080 to 20/102, 15/217 to 15/232, 16/161 to 16/186 and B/Wall at R.D. 16/483 to 16/498",Technical,Summary Uploaded,Akhil Chauhan,28-Nov-2023 04:47 PM,technical_120234.pdf,1.0,382702.0,DEEPAK DHARMAIK,06-Nov-2023 02:01 PM,Rejected-Finance,L2 BIDDER,01-Dec-2023,Finance,Summary Uploaded,Vinod Shyam,01-Dec-2023 03:06 PM,finance_120234.pdf,BOQ Comparative Chart,1.0,382696.0,VIJAY BRAGTA,INR,"4,469,587",1.0,ICICI BANK,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Executive Engineer,HPPWD DIVISION KOTKHAI,PWD,PW-KD-E-Tender/2023-24-4719-23 dtd 26-10-2023,2023_PWD_80767_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"85,800",No,fixed,,Nil,Nil,"R/R Damages on Kotkhai Deori Khaneti Deorighat road in K.M. 0/00 to 22/00, C/o, R/Wall at R.D. 16/460 to 16/498, 19/610 to 19/645, 20/080 to 20/102, 15/217 to 15/232, 16/161 to 16/186 and B/Wall at R.D. 16/483 to 16/498","R/R Damages on Kotkhai Deori Khaneti Deorighat road in K.M. 0/00 to 22/00, C/o, R/Wall at R.D. 16/460 to 16/498, 19/610 to 19/645, 20/080 to 20/102, 15/217 to 15/232, 16/161 to 16/186 and B/Wall at R.D. 16/483 to 16/498",Please refer Tender documents. ,NA ,"42,88,026",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,02-Nov-2023 11:00 AM,08-Nov-2023 11:00 AM,02-Nov-2023 11:00 AM,07-Nov-2023 06:00 PM,NA ,NA ,02-Nov-2023 11:00 AM,07-Nov-2023 06:00 PM,28-Nov-2023 04:50 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382969.0,Kapish Chauhan,07-Nov-2023 02:42 PM,Rejected-Technical,NOT QUALIFIED,28-Nov-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,382696.0,VIJAY BRAGTA,06-Nov-2023 01:36 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,26-Dec-2023,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
