Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Executive Engineer,HPPWD DIVISION KOTKHAI,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"R/R Damages On Badrooni Ghati To Badrooni road in K.M. 0/00 to 2/995, C/o, R/Wall at R.D. 1/130 to 1/160","R/R Damages On Badrooni Ghati To Badrooni road in K.M. 0/00 to 2/995, C/o, R/Wall at R.D. 1/130 to 1/160",Please refer Tender documents. ,NA ,"6,20,595",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,"12,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,350.0,Nil,Nil,No,02-Nov-2023 11:00 AM,08-Nov-2023 11:00 AM,02-Nov-2023 11:00 AM,07-Nov-2023 06:00 PM,NA ,NA ,02-Nov-2023 11:00 AM,07-Nov-2023 06:00 PM,28-Nov-2023 04:50 PM,PWD,PW-KD-E-Tender/2023-24-4719-23 dtd 26-10-2023,2023_PWD_80767_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Finance,summary Uploaded,Vinod Shyam,01-Dec-2023 03:25 PM,finance_120235.pdf,BOQ Comparative Chart,1.0,382501.0,M/S NAVEEN DHAUSTA GOVT. CONTRACTOR,INR,"645,050",1.0,382501.0,M/S NAVEEN DHAUSTA GOVT. CONTRACTOR,04-Nov-2023 07:40 PM,Accepted-AOC,Lowest bidder to awarded the work,26-Dec-2023,Technical,summary uploaded,Akhil Chauhan,28-Nov-2023 04:44 PM,technical_120235.pdf,Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,28-Nov-2023 04:45 PM,28-Nov-2023 04:50 PM,techsummary_120235.pdf (3745.25 KB),PWD,2023_PWD_80767_8,PW-KD-E-Tender/2023-24-4719-23 dtd 26-10-2023,"R/R Damages On Badrooni Ghati To Badrooni road in K.M. 0/00 to 2/995, C/o, R/Wall at R.D. 1/130 to 1/160",26-Dec-2023,"INR 620,595",45.0,Vinod Shyam,26-Dec-2023 02:02 PM,160.pdf (785.00 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Vinod Shyam,01-Dec-2023 03:30 PM,finsummary_120235.pdf (185.85 KB)
,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382500.0,RAKESH DOGRA GOVT. CONTRACTOR,04-Nov-2023 07:32 PM,Rejected-Finance,L2 BIDDER,01-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
