EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
"42,000",No,fixed,,Nil,Nil,PWD,PW-SRDD-CB-CTR/2023-24-867-917 Dt. 24.04.2023,2023_PWD_72538_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Annual Surfacing on Jalog Kothi Road km. 0/00 to 5/180,SH- P/L and laying 30 mm thick Bitminous Concrete alongwith P/L Hot Applied Thermoplastic Compound 2.50 mm thick for edge lie between Kms. 4/0 to 5/180 AMP FOR 2023-2024,As per Tender Documents ,NA ,"21,03,085",Civil Works - Roads,NIL ,Tender,75.0,30.0,Dhami,171103.0,NA ,NA ,NA ,Rural Divisio HPPWD Dhami,No ,No,1.0,ICICI BANK,500.0,Nil,Nil,No,28-Apr-2023 06:00 PM,08-May-2023 11:00 AM,28-Apr-2023 06:00 PM,06-May-2023 06:30 PM,NA ,NA ,28-Apr-2023 06:00 PM,06-May-2023 06:30 PM,20-May-2023 04:00 PM,Executive Engineer,Shimla Rural Division HPPWD Dhami,Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Padam Bahadur Supdt.Gr-II,",Naveen Singh Kaundal,20-May-2023 03:18 PM,20-May-2023 04:00 PM,techsummary_109102.pdf (420.82 KB),PWD,2023_PWD_72538_1,PW-SRDD-CB-CTR/2023-24-867-917 Dt. 24.04.2023,Annual Surfacing on Jalog Kothi Road km. 0/00 to 5/180,30-Dec-2023,"INR 2,103,085",30.0,Naveen Singh Kaundal,30-Dec-2023 04:55 PM,JalogkothiAOC.pdf (1711.00 KB),AOC,Er. Rajesh Aggarwal,Internal,"Supdt.Gr-II,Sr.DAO",Naveen Singh Kaundal,24-Nov-2023 12:45 PM,finsummary_109102.pdf (1710.88 KB),1.0,344710.0,pramod kumar sharma,02-May-2023 03:54 PM,Accepted-AOC,AOC,30-Dec-2023,Technical,Bid opening summary,Naveen Singh Kaundal,08-May-2023 05:38 PM,technical_109102.pdf,1.0,344710.0,pramod kumar sharma,INR,"2,204,032",Finance,Finance Bid opening summary,Naveen Singh Kaundal,20-May-2023 05:49 PM,finance_109102.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand as Per General Rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
