Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Technical,summary uploaded,Akhil Chauhan,15-Dec-2023 01:28 PM,technical_121277.pdf,Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Cont.",Akhil Chauhan,15-Dec-2023 01:30 PM,15-Dec-2023 01:35 PM,techsummary_121277.pdf (3311.86 KB),1.0,385164.0,HEM LATA,20-Nov-2023 02:48 PM,Rejected-Technical,NOT QUALIFIED,15-Dec-2023,Finance,Summary uploaded,Akhil Chauhan,20-Dec-2023 03:54 PM,finance_121277.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Cont.",Akhil Chauhan,20-Dec-2023 03:56 PM,finsummary_121277.pdf (194.68 KB),PWD,2023_PWD_81477_11,PW-KD-E-Tender/2023-24-5049-53 dated 10-11-2023,"R/R Damages on kotkahi Deorikhaneti Deorighat Road in K.M. 0/00 to 22/00, C/o, R/Wall at R.D. 0/496 to 0/504, 0/520 to 0/524, 0/565 to 0/580, 1/130 to 1/145, 1/185 to 1/205, 1/305 to 1/315 and B/Wall at R.d. 3/090 to 3/100, 0/460 to 0/485",23-Dec-2023,"INR 2,914,410",45.0,Vinod Shyam,23-Dec-2023 01:01 PM,12.pdf (945.00 KB),1.0,385137.0,M/s Pardeep Sublaik,INR,"3,039,988",Executive Engineer,HPPWD DIVISION KOTKHAI,PWD,PW-KD-E-Tender/2023-24-5049-53 dated 10-11-2023,2023_PWD_81477_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"R/R Damages on kotkahi Deorikhaneti Deorighat Road in K.M. 0/00 to 22/00, C/o, R/Wall at R.D. 0/496 to 0/504, 0/520 to 0/524, 0/565 to 0/580, 1/130 to 1/145, 1/185 to 1/205, 1/305 to 1/315 and B/Wall at R.d. 3/090 to 3/100, 0/460 to 0/485","R/R Damages on kotkahi Deorikhaneti Deorighat Road in K.M. 0/00 to 22/00, C/o, R/Wall at R.D. 0/496 to 0/504, 0/520 to 0/524, 0/565 to 0/580, 1/130 to 1/145, 1/185 to 1/205, 1/305 to 1/315 and B/Wall at R.d. 3/090 to 3/100, 0/460 to 0/485",Please refer Tender documents. ,NA ,"29,14,589",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,"59,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,ICICI BANK,17-Nov-2023 11:00 AM,23-Nov-2023 11:00 AM,17-Nov-2023 11:00 AM,22-Nov-2023 06:00 PM,NA ,NA ,17-Nov-2023 11:00 AM,22-Nov-2023 06:00 PM,15-Dec-2023 01:35 PM,"1,500",Nil,Nil,No
,,,,,,,,,,,,2.0,385169.0,MAHENDER SHARMA,20-Nov-2023 03:10 PM,Rejected-Finance,L2 BIDDER,20-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,
,,,,,,,,,,,,3.0,385137.0,M/s Pardeep Sublaik,20-Nov-2023 02:01 PM,Accepted-AOC,Lowest bidder to awarded the work,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,
