Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
29-Dec-2023,"INR 10,484,965",274.0,Ravi Bhatti,01-Jan-2024 04:08 PM,bhuppi.pdf (365.00 KB),AOC,Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Harnam Singh Thakur Superintendent PMGSY Shri Satyapal Jhogta HDM,Ravi Bhatti,20-Nov-2023 02:56 PM,finsummary_119655.pdf (17.12 KB),Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Harnam Singh Thakur Superintendent PMGSY Shri Satyapal Jhogta HDM,Ravi Bhatti,18-Nov-2023 03:00 PM,20-Nov-2023 11:00 AM,techsummary_119655.pdf (17.12 KB),PWD,2023_PWD_80357_1,No.9332-39 dt 11.10.2023,Construction of Science lab at Govt. Senior Secondary School at Gaura at Distt. Solan,Finance,financial bid opening summary,Ravi Bhatti,20-Nov-2023 02:47 PM,finance_119655.pdf,BOQ Comparative Chart,1.0,379716.0,BHUPENDER SINGH THAKUR,INR,"10,487,965",Technical,bid opening summary,Ravi Bhatti,26-Oct-2023 03:45 PM,technical_119655.pdf,1.0,379716.0,BHUPENDER SINGH THAKUR,21-Oct-2023 01:00 PM,Accepted-AOC,Award of contract,01-Jan-2024,1.0,Fee/PreQual/Technical,.pdf,1. Cost of tender and earnest money indicate in Schedule F General Rule NO. 24.1,Construction of Science lab at Govt. Senior Secondary School at Gaura at Distt. Solan,"C/o Building work ground and first floor, water supply and sanitary installation, septic tank, rain water harvesting tank and site development etc.",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,274.0,Solan,173212.0,NA ,NA ,NA ,Solan B and R division,No ,No,"5,000",Nil,Nil,No,17-Oct-2023 05:30 PM,23-Oct-2023 11:00 AM,17-Oct-2023 05:30 PM,23-Oct-2023 10:30 AM,NA ,NA ,17-Oct-2023 05:30 PM,23-Oct-2023 10:30 AM,20-Nov-2023 11:00 AM,1.0,ICICI BANK,PWD,No.9332-39 dt 11.10.2023,2023_PWD_80357_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer B and R Division HPPWD Solan,near new bus stand solan,"2,30,500",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,379763.0,suman kumar sharma,23-Oct-2023 09:47 AM,Rejected-Finance,L2,20-Nov-2023,,,.pdf,2. Contractors registration refers general rules and directions No 24.3 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,380059.0,We Build Construction,23-Oct-2023 10:22 AM,Rejected-Technical,"tender technically not accepted as the contractor is not eligible, as he has not submitted the work done certificate of similar nature",18-Nov-2023,,,.pdf,3. GST registration refers general rules and Directions no 24.4 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Work done certificate and work in hand certificate refer in general rules No 24.5 schedule F Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. List of machinery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. Affidavits of correctness of all the documents are submitted is true by the Contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Work done condition one similar nature of work not less than 40 percent of the estimated cost as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,12. Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload PDF documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
