Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
EE,Internal,TA HDM Supt,Harsh Puri,16-Nov-2023 05:04 PM,finsummary_117793.pdf (443.27 KB),13-Dec-2023,"INR 75,885,000",540.0,Harsh Puri,13-Dec-2023 05:08 PM,katluaoc.pdf (1729.00 KB),Work awarded,PWD,2023_PWD_78993_3,NIT No. 8136-55 dated 14/09/2023,Construction of Balance work including metalling and tarring of kakira to Katloo road Km 0/0 to 6-575 under NABARD,SE,Internal,TA Supdt G-II EO AE(D) EE(D) EE Chw,Harsh Puri,04-Oct-2023 08:34 AM,10-Oct-2023 11:30 AM,techsummary_117793.pdf (207.38 KB),Technical,tech,Harsh Puri,30-Sep-2023 10:33 AM,technical_117793.pdf,1.0,374831.0,garg,28-Sep-2023 04:23 PM,Rejected-Finance,rejected,16-Nov-2023,1.0,373941.0,Rakesh Mahajan Govt Contractor,INR,"71,599,100",Finance,fin summary,Harsh Puri,10-Oct-2023 01:56 PM,finance_117793.pdf,BOQ Comparative Chart,Construction of Balance work including metalling and tarring of kakira to Katloo road Km 0/0 to 6-575 under NABARD,Construction of Balance work including metalling and tarring of kakira to Katloo road Km 0/0 to 6-575 under NABARD,Please refer Tender documents. ,NA ,"7,58,85,492",Civil Works,NA ,Tender,75.0,540.0,Chowari,176302.0,NA ,NA ,NA ,Dalhousie,No ,No,"15,18,000",No,fixed,,Nil,Nil,PWD,NIT No. 8136-55 dated 14/09/2023,2023_PWD_78993_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-1 of the Bid as per Section-6,Superintending Engineer,"7th Circle HPPWD, Dalhousie",19-Sep-2023 11:00 AM,29-Sep-2023 11:30 AM,19-Sep-2023 11:00 AM,29-Sep-2023 11:00 AM,NA ,NA ,19-Sep-2023 11:00 AM,29-Sep-2023 11:00 AM,10-Oct-2023 11:30 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,373941.0,Rakesh Mahajan Govt Contractor,27-Sep-2023 05:06 PM,Accepted-AOC,Work awarded,13-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. Scanned copy of e-Payment/,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section -2 Cl-16.2 through online mode i.e. Scanned copy of e-Payment/online pay,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.1-Section-3 (1.1),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.3.1, (1.3.2) (1.3.3)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.4), (1.5)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.2), (1.7)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section 2 Cl (4.2g) and Cl 4.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section 2 Cl(4.4A (b),,,,,,,,,,,
