Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Technical,Summary,Arun Vashisht,10-Oct-2023 03:16 PM,technical_117365.pdf,Finance,Summary,Arun Vashisht,15-Oct-2023 03:05 PM,finance_117365.pdf,EE Dehra,Internal,"HDM,Supdt,DAO",Arun Vashisht,15-Oct-2023 03:42 PM,finsummary_117365.pdf,20-Dec-2023,"INR 7,499,606",180.0,Arun Vashisht,20-Dec-2023 02:53 PM,786885.pdf,work awarded,PWD,2023_PWD_78688_5,EE Dehra letter NO. 5236-41 dt. 25.08.23,C/o Govt. Senior Secondary School at Nahlian in Tehsil Khundian Distt Kangra (H.P),EE Dehra,Internal,"TA,HDM,Supdt,DAO",Arun Vashisht,10-Oct-2023 03:29 PM,10-Oct-2023 03:40 PM,techsummary_117365.pdf,"1,78,300",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,11-Sep-2023 10:00 AM,26-Sep-2023 11:30 AM,11-Sep-2023 10:00 AM,25-Sep-2023 06:00 PM,NA ,NA ,11-Sep-2023 10:00 AM,25-Sep-2023 06:00 PM,10-Oct-2023 03:40 PM,1.0,ICICI BANK,Executive Engineer,HPPWD Division Dehra,PWD,EE Dehra letter NO. 5236-41 dt. 25.08.23,2023_PWD_78688_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum,Date,,C/o Govt. Senior Secondary School at Nahlian in Tehsil Khundian Distt Kangra (H.P),C/o Five rooms (Three Rooms in Ground Floor and Two Rooms in First floor with verandah and C/o Protection wall at RD 0/0 to 0/045,Please refer to tender documents ,NA ,"89,15,685",Civil Works,NA ,Tender,75.0,180.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
