Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description
04-Dec-2023,"INR 1,309,846",60.0,Rajesh Sharma,04-Dec-2023 01:56 PM,Aoc9330r.pdf (495.00 KB),Award Latter,EE,Internal,Sh Satya Pal Sharma HDM Sh Manoj Kumar Supdt,Rajesh Sharma,04-Dec-2023 01:43 PM,finsummary_112855.pdf (484.77 KB),Er Rajesh Sharma,Internal,Sh Manoj Kumar Supdt Sh Sat Pal DHD,Rajesh Sharma,03-Jul-2023 03:18 PM,03-Jul-2023 03:20 PM,techsummary_112855.pdf (379.30 KB),PWD,2023_PWD_75328_5,No PW OSDN 2569-71 dt 09.06.2023,Restoration of rain damages on Gugra Jaon Tarala road km 0/00 to 13/525 SH Construction of 3.00 metre span RCC slab culvert at RD 9/330,Finance,Summary,Rajesh Sharma,04-Dec-2023 12:55 PM,finance_112855.pdf,BOQ Comparative Chart,1.0,357051.0,surender kumar govt cont,INR,"1,008,581",Technical,Summary,Rajesh Sharma,03-Jul-2023 03:06 PM,technical_112855.pdf,1.0,356784.0,AMRISH PURI,27-Jun-2023 06:55 AM,Rejected-AOC,Rejected due to L2,04-Dec-2023,1.0,ICICI BANK,EE Nirmand,Executive Engineer outer Seraj Division HPPWD Nirmand,PWD,No PW OSDN 2569-71 dt 09.06.2023,2023_PWD_75328_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Restoration of rain damages on Gugra Jaon Tarala road km 0/00 to 13/525 SH Construction of 3.00 metre span RCC slab culvert at RD 9/330,Restoration of rain damages on Gugra Jaon Tarala road km 0/00 to 13/525 SH Construction of 3.00 metre span RCC slab culvert at RD 9/330,Please refer Tender documents. ,NA ,"13,09,845",Civil Works,NA ,Tender,90.0,60.0,Nirmand,172023.0,NA ,NA ,NA ,EE Nirmand,No ,No,500.0,Nil,Nil,No,"27,000",No,fixed,,Nil,Nil,21-Jun-2023 06:30 PM,27-Jun-2023 11:00 AM,21-Jun-2023 06:35 PM,27-Jun-2023 09:00 AM,NA ,NA ,21-Jun-2023 06:35 PM,27-Jun-2023 09:00 AM,03-Jul-2023 03:20 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,357051.0,surender kumar govt cont,27-Jun-2023 07:52 AM,Accepted-AOC,Accepted due to L1,04-Dec-2023,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money under general rule 24.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand under general rule 24.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turn over for last five year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From 8 duly signed by contractor
