Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
C/o Link road Govt. High School Gagret to HarizanBastiKaloh to GagretOelIspur road (SH.C/o Cement concrete pavement with drain from RD. 1/400 to 1/900) under SCDP),C/o Link road Govt. High School Gagret to HarizanBastiKaloh to GagretOelIspur road (SH.C/o Cement concrete pavement with drain from RD. 1/400 to 1/900) under SCDP),Please refer Tender documents. ,NA ,"39,33,500",Civil Works - Roads,NA ,Tender,75.0,30.0,Daulatpur Chowk,177204.0,NA ,NA ,NA ,0/o EE HPPWD DIVISION DAULATPUR CHOWK,No ,No,PWD,C/o Link road Govt. High School Gagret,2023_PWD_80685_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"66,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost and Emd,25-Oct-2023 05:00 PM,02-Nov-2023 11:30 AM,25-Oct-2023 05:00 PM,01-Nov-2023 05:00 PM,NA ,NA ,25-Oct-2023 05:00 PM,01-Nov-2023 05:00 PM,08-Nov-2023 11:30 AM,EE HPPWD DIVISION DAULATPUR CHOWK,O/o The EE HPPWD DIVISION DAULATPUR CHOWK,"1,500",Nil,Nil,Yes,PWD,2023_PWD_80685_1,C/o Link road Govt. High School Gagret,C/o Link road Govt. High School Gagret to HarizanBastiKaloh to GagretOelIspur road (SH.C/o Cement concrete pavement with drain from RD. 1/400 to 1/900) under SCDP),EE HARGOVIND KAUSHAL,Internal,Documents Attached,Hargovind Kaushal,06-Nov-2023 06:29 PM,08-Nov-2023 11:30 AM,techsummary_120118.pdf (3915.84 KB),EE HARGOVIND KAUSHAL,Internal,,Hargovind Kaushal,09-Nov-2023 05:05 PM,finsummary_120118.pdf (1172.18 KB),04-Dec-2023,"INR 3,933,500",30.0,Dinesh Kumar,19-Mar-2024 02:22 PM,M1111.pdf (427.00 KB),WORK COMPLETE,1,381749,ABC Construction,31-Oct-2023 05:14 PM,Rejected-Finance,L6,09-Nov-2023,Technical,Technical Bid Opened On Dated 02/11/2023,Dinesh Kumar,02-Nov-2023 12:05 PM,technical_120118.pdf,1.0,381823.0,MINAKSHI SHARMA,INR,"3,933,500",Finance,Financial Bid Opened On Dated 08/11/2023,Hargovind Kaushal,08-Nov-2023 01:22 PM,,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,All the technical documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,381948,Ajmer Singh Govt. Contractor,01-Nov-2023 02:41 PM,Rejected-Finance,L5,09-Nov-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,381685,Ishan Thakur,01-Nov-2023 02:29 PM,Rejected-Finance,L3,09-Nov-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,381958,Madan Lal Govt Contractor,01-Nov-2023 03:21 PM,Rejected-Finance,L7,09-Nov-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,381178,Manu Sharma,31-Oct-2023 09:10 PM,Rejected-Finance,L9,09-Nov-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,381823,MINAKSHI SHARMA,31-Oct-2023 09:18 PM,Accepted-AOC,WORK COMPLETE,19-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,381918,M/s Kamla Contruction,01-Nov-2023 01:37 PM,Rejected-Finance,L4,09-Nov-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,381850,PRABHJOT SINGH GOVT CONTRACTOR,01-Nov-2023 03:50 PM,Rejected-Finance,L8,09-Nov-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,381929,Rohit Thakur,01-Nov-2023 01:35 PM,Rejected-Finance,L2,09-Nov-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,381824,Sunil Kumar,31-Oct-2023 09:14 PM,Rejected-Finance,L10,09-Nov-2023,,,,,,,,,,,,,,,,
