S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,ICICI BANK,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu-I,Irrigation and Public Health,HP",NIT No. 10546-95 dt. 02-03-2023,2023_HPIPH_70121_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Providing Flood Protection Work of River Beas, Left Bank for Village Mahili Bihal and Bagga in G.P. Archhandi in Tehsil and Distt. Kullu H.P","SH CO Gabion Wall of 3.75 mtr. 5.00 mtr. Height design, Toe wall, Appron for a length of 150 mtr. From RD 31100 to 31250 Job-6",Please refer Tender documents. ,NA ,"1,14,16,036",Civil Works,NA ,Tender,120.0,180.0,Katrain,175129.0,NA ,NA ,NA ,JSV Division Katrain,No ,No,"1,500",EE JSV Katrain,Kullu,Yes,Executive Engineer,Jal Shakti Division Katrain,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIT,"1,46,660",Yes,fixed,,EE Katrain,Kullu,03-Mar-2023 05:40 PM,13-Mar-2023 11:30 AM,04-Mar-2023 09:00 AM,13-Mar-2023 11:00 AM,NA ,NA ,04-Mar-2023 09:00 AM,13-Mar-2023 11:00 AM,18-Apr-2023 12:10 PM,Executive Engineer,Internal,"Sh. Gopal Sharma Supdt., Sh. Ajay Parashar Sr. Asstt. A/B, Smt. Prem Lata HDM",Arun Kumar Sharma,15-Dec-2023 02:54 PM,finsummary_105690.pdf (1049.31 KB),1.0,333949.0,Ajeet Sharma,INR,"11,281,801","HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu-I,Irrigation and Public Health,HP",2023_HPIPH_70121_1,NIT No. 10546-95 dt. 02-03-2023,"Providing Flood Protection Work of River Beas, Left Bank for Village Mahili Bihal and Bagga in G.P. Archhandi in Tehsil and Distt. Kullu H.P",Er. Arun Kumar Sharma,Internal,"Sh. Gopal Sharma Supdt. Gr-II, Smt. Prem Lata, HDM, Sh. Ajay Parashar Sr. Asstt. Sh. Jitender Kumar Tender Asstt.",Arun Kumar Sharma,18-Apr-2023 12:06 PM,18-Apr-2023 12:10 PM,techsummary_105690.pdf (2839.17 KB),1,334090,AandA Engineers and Contractors,11-Mar-2023 07:10 PM,Rejected-Technical,Rejected,18-Apr-2023,Finance,Summary,Arun Kumar Sharma,15-Dec-2023 02:43 PM,finance_105690.pdf,BOQ Comparative Chart,Technical,eligibility,Arun Kumar Sharma,18-Apr-2023 11:50 AM,technical_105690.pdf,15-Dec-2023,"INR 11,349,518",180.0,Arun Kumar Sharma,15-Dec-2023 03:01 PM,awardaj.pdf (514.00 KB),Award letter
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender Form as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,333949,Ajeet Sharma,11-Mar-2023 02:46 PM,Accepted-AOC,L1,15-Dec-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,334293,Arpit Kanwar,12-Mar-2023 10:40 PM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No. GST No. EPF as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,334069,ATUL GUPTA,12-Mar-2023 11:38 AM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,334383,B3Solution,13-Mar-2023 09:47 AM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter DSC as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,333894,Balwant Kumar,11-Mar-2023 12:23 PM,Rejected-Finance,Rejected,15-Dec-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,333971,CHARAN DASS,12-Mar-2023 12:08 PM,Rejected-Finance,Rejected,15-Dec-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,333950,GURBACHAN SING,12-Mar-2023 02:52 PM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,334399,Lalit Pal,13-Mar-2023 10:21 AM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,334398,MNBN Enterprises,13-Mar-2023 10:29 AM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,333897,Pardeed Kumar,13-Mar-2023 10:57 AM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,333809,Shanoo Sharma Contractor,13-Mar-2023 10:55 AM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,334292,shubham chauhan,13-Mar-2023 08:07 AM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,334324,Tarsem Chand Associates,13-Mar-2023 09:46 AM,Rejected-Technical,Rejected,18-Apr-2023,,,,,,,,,,,,,,,,,,
