Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1.0,Fee/PreQual/Technical,.pdf,Proof of EMD and Tender document fee (Terms and condition No.1 of Section IV,"5,000",Nil,Nil,No,"10,00,000",No,fixed,,Nil,Nil,19-Jan-2023 03:00 PM,28-Jan-2023 03:00 PM,19-Jan-2023 03:00 PM,28-Jan-2023 02:00 PM,NA ,NA ,19-Jan-2023 03:00 PM,28-Jan-2023 02:00 PM,07-Feb-2023 03:05 PM,SE(Mech-Pre-Fab-Building and Ropeways),"Nirman Bhawan, Nigam Vihar Shimla-2.",Supply of 900-1200 TPH capacity medium duty Snow Blower mounted on purpose built carrier vehicle,Please refer to tender docuement,Please refer to tender docuement ,NA ,,Machineries,NA ,Tender,180.0,180.0,Shimla,171002.0,NA ,NA ,NA ,Shimla,No ,No,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,1.0,ICICI BANK,PWD,PW-SP-SnowBlower/1598-99 dt 18/01/2023,2023_PWD_67301_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,Superintending Engineer (Mech),Internal,Executive Engineer (SP) Finance Controller Superintendent Grade-I,Amit Sharma,07-Feb-2023 03:02 PM,07-Feb-2023 03:05 PM,techsummary_101455.pdf (3593.26 KB),PWD,2023_PWD_67301_1,PW-SP-SnowBlower/1598-99 dt 18/01/2023,Supply of 900-1200 TPH capacity medium duty Snow Blower mounted on purpose built carrier vehicle,18-Dec-2023,"INR 42,200,000",180.0,Amit Sharma,21-Feb-2024 11:42 AM,aoc.pdf (826.00 KB),Superintending Engineer (Mech),Internal,"Executive Engineer (SP), Finance Controller, Superintendent Gr-I (SP)",Mukesh Sood,25-Feb-2023 10:41 AM,finsummary_101455.pdf (917.39 KB),1.0,316813.0,M G CONSTRUCTIONS,28-Jan-2023 12:42 PM,Rejected-Finance,Being a L-3 bidder,25-Feb-2023,Technical,All three bidders fulfilled the technical criteria and admitted for financial evaluation,Amit Sharma,07-Feb-2023 02:58 PM,technical_101455.pdf,1.0,316752.0,project india,INR,"42,200,000",Finance,Financial Bid opening summary,Mukesh Sood,25-Feb-2023 10:30 AM,finance_101455.pdf,BOQ Comparative Chart
,,.pdf,Proof of eligibility condition No. 1 of section II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,316752.0,project india,27-Jan-2023 10:18 PM,Accepted-AOC,"The firm has submitted the Bank guarantee of Rs. 21,10,000/- as performance security, therefore the EMD is to be returned.",21-Feb-2024,,,,,,,,,,,,,,,,
,,.pdf,Proof of eligibility condition No.2 of section II on proforma-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,316769.0,SWR WASTE MANAGEMENT PVT LTD,28-Jan-2023 02:38 AM,Rejected-Finance,Being a L-2 bidder,25-Feb-2023,,,,,,,,,,,,,,,,
,,.pdf,Proof of eligibility condition No. 3(a) and 3(b) of section II on proforma-II and III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of eligibility condition No. 4 of section II on proforma-IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of eligibility condition No. 5 of section I on proforma-V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of eligibility condition No.6 of section II on Proforma-VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of eligibility condition No.7 of section II on proforma-VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of eligibility condition No.8 of section II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of eligibility condition No.9 of section II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
