Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,11-Oct-2023 04:13 PM,finsummary_117924.pdf (189.51 KB),11-Dec-2023,"INR 4,968,817",60.0,Suresh Kumar Walia,02-Jan-2024 01:03 PM,Award.pdf (394.00 KB),Award,PWD,2023_PWD_79112_1,Nagrota 20-9-2023,Restoration of rain damages on Daulatpur Sunhi Sarotari Kandi road Km 3/000 to 14/400 and 20/000 and 33/100 in Distt Kangra (HP) (SH-Repair of pot holes with premix carpet between Km 3/000 to 14/400),Executive Engineer,Internal,AE Supdt HDM DAO,Suresh Kumar Walia,07-Oct-2023 03:19 PM,09-Oct-2023 11:00 AM,techsummary_117924.pdf (1558.34 KB),Technical,sum,Suresh Kumar Walia,07-Oct-2023 03:16 PM,technical_117924.pdf,1.0,374795.0,Alpna Sharma,29-Sep-2023 08:29 AM,Accepted-AOC,Award,02-Jan-2024,1.0,374795.0,Alpna Sharma,INR,"4,074,927",Finance,sum,Suresh Kumar Walia,11-Oct-2023 04:11 PM,finance_117924.pdf,BOQ Comparative Chart,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,Restoration of rain damages on Daulatpur Sunhi Sarotari Kandi road Km 3/000 to 14/400 and 20/000 and 33/100 in Distt Kangra (HP) (SH-Repair of pot holes with premix carpet between Km 3/000 to 14/400),Restoration of rain damages on Daulatpur Sunhi Sarotari Kandi road Km 3/000 to 14/400 and 20/000 and 33/100 in Distt Kangra (HP) (SH-Repair of pot holes with premix carpet between Km 3/000 to 14/400),Please refer Tender documents. ,NA ,"49,68,817",Civil Works - Roads,NA ,Tender,120.0,60.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,"2,000",Nil,Nil,No,20-Sep-2023 05:00 PM,29-Sep-2023 11:00 AM,20-Sep-2023 05:00 PM,29-Sep-2023 10:00 AM,NA ,NA ,20-Sep-2023 05:00 PM,29-Sep-2023 10:00 AM,09-Oct-2023 11:00 AM,PWD,Nagrota 20-9-2023,2023_PWD_79112_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"99,400",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,374962.0,Deeksha Sharmaq,29-Sep-2023 08:52 AM,Rejected-Technical,Document not received as per requirement,07-Oct-2023,,,,,,,,,,,,,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,373843.0,RAHUL SHARMA,28-Sep-2023 10:24 PM,Rejected-Technical,Document not received as per requirement,07-Oct-2023,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,374760.0,Rohit,28-Sep-2023 10:46 AM,Rejected-Technical,Document not received as per requirement,07-Oct-2023,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,374982.0,Saurabh Vashishath,29-Sep-2023 09:34 AM,Rejected-Finance,Lowest 2,11-Oct-2023,,,,,,,,,,,,,,.pdf,Under taking that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,374954.0,Shadil Thakur,29-Sep-2023 08:22 AM,Rejected-Technical,Document not received as per requirement,07-Oct-2023,,,,,,,,,,,,,,.pdf,Under taking regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
