Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,PW-KD-E-Tender/2023-24-2870-74 dtd 02-09-2023,2023_PWD_78468_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"R/R Damages on Gumma pujali Baghi road in K.M. 0/00 to 28/500, C/o, R/Wall at R.D. 23/050 to 23/060, 16/520 to 16/532.50, 16/570 to 16/585, 20/885 to 20/898 and 16/510 to 16/517.50","R/R Damages on Gumma pujali Baghi road in K.M. 0/00 to 28/500, C/o, R/Wall at R.D. 23/050 to 23/060, 16/520 to 16/532.50, 16/570 to 16/585, 20/885 to 20/898 and 16/510 to 16/517.50",Please refer Tender documents. ,NA ,"17,29,446",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,"34,600",No,fixed,,Nil,Nil,06-Sep-2023 11:00 AM,13-Sep-2023 11:00 AM,06-Sep-2023 11:00 AM,12-Sep-2023 06:00 PM,NA ,NA ,06-Sep-2023 11:00 AM,12-Sep-2023 06:00 PM,16-Sep-2023 02:30 PM,Executive Engineer,HPPWD DIVISION KOTKHAI,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,ICICI BANK,1.0,371614.0,SURENDER MOHAN,INR,"1,807,486",Finance,summary uploaded,Vinod Shyam,25-Sep-2023 01:02 PM,finance_117022.pdf,BOQ Comparative Chart,1.0,371641.0,SANDEEP DOGRA GOVT. CONTRACTOR,12-Sep-2023 04:59 PM,Rejected-Finance,L2 BIDDER,30-Nov-2023,Technical,Summary Updated,Vinod Shyam,16-Sep-2023 02:23 PM,technical_117022.pdf,Executive Engineer,Internal,"XEN, AE, SUPDT. HDM",Vinod Shyam,16-Sep-2023 02:25 PM,16-Sep-2023 02:30 PM,techsummary_117022.pdf (8509.50 KB),PWD,2023_PWD_78468_2,PW-KD-E-Tender/2023-24-2870-74 dtd 02-09-2023,"R/R Damages on Gumma pujali Baghi road in K.M. 0/00 to 28/500, C/o, R/Wall at R.D. 23/050 to 23/060, 16/520 to 16/532.50, 16/570 to 16/585, 20/885 to 20/898 and 16/510 to 16/517.50",06-Dec-2023,"INR 1,729,446",45.0,Akhil Chauhan,06-Dec-2023 01:50 PM,11.pdf (868.00 KB),Executive Engineer,Internal,"XEN, AE, Supdt. and Contr.",Vinod Shyam,30-Nov-2023 04:23 PM,finsummary_117022.pdf (186.98 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,371614.0,SURENDER MOHAN,12-Sep-2023 04:02 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,06-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
