Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
21-Dec-2023,"INR 5,853,461",60.0,Vinod Shyam,21-Dec-2023 01:16 PM,1.pdf (1176.00 KB),Executive Engineer,Internal,"XEN, AE, HDM, Superintendent, Sr. Asstt.",Ramesh Rana,01-Jan-2022 01:31 PM,finsummary_81099.pdf (192.50 KB),Executive Engineer,Internal,"XEN, AE, HDM, Superintendent, Sr. Asstt.",Ramesh Rana,22-Dec-2021 04:45 PM,22-Dec-2021 04:50 PM,techsummary_81099.pdf (369.34 KB),PWD,2021_PWD_54152_1,PW-KD-E-Tender/2021-22-4818-20 dt 18-11-2020,"M/T of approach road to Engineering College in Pragtinagar Gumma in Tehsil Kotkhai, Distt. Shimla, H.P.",Finance,summary uploaded,Ramesh Rana,01-Jan-2022 01:22 PM,finance_81099.pdf,BOQ Comparative Chart,1.0,248029.0,Davinder Sharma,INR,"5,646,187",Technical,summary uploaded,Ramesh Rana,22-Dec-2021 04:44 PM,technical_81099.pdf,1.0,248029.0,Davinder Sharma,06-Dec-2021 04:31 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,21-Dec-2023,"95,300",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,EE Kotkhai,Division HPPWD Kotkhai,1.0,ICICI BANK,PWD,PW-KD-E-Tender/2021-22-4818-20 dt 18-11-2020,2021_PWD_54152_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"M/T of approach road to Engineering College in Pragtinagar Gumma in Tehsil Kotkhai, Distt. Shimla, H.P.",M/T in K.M. 0/00 to 1/212,Please refer Tender documents. ,NA ,"62,72,839",Civil Works,NA ,Tender,90.0,60.0,Division kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,30-Nov-2021 02:00 PM,07-Dec-2021 11:00 AM,30-Nov-2021 02:00 PM,06-Dec-2021 06:00 PM,NA ,NA ,30-Nov-2021 02:00 PM,06-Dec-2021 06:00 PM,22-Dec-2021 04:50 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,247978.0,M/s Pardeep Sublaik,06-Dec-2021 01:02 PM,Rejected-Finance,L2 Bidder,01-Jan-2022,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,248055.0,Pankaj Chauhan,06-Dec-2021 04:35 PM,Rejected-Finance,L3 Bidder,01-Jan-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report As Per General Rules 28.2a And 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
