Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address
22-Dec-2023,"INR 18,591,338",120.0,Munish Sharma,22-Dec-2023 12:33 PM,Awardjob2.pdf (690.00 KB),Award to Contractor,Technical,Technical summary,Munish Sharma,09-Nov-2023 12:31 PM,technical_119040.pdf,Finance,Financial Summary,Munish Sharma,09-Nov-2023 03:37 PM,finance_119040.pdf,BOQ Comparative Chart,1.0,378991.0,ASHOK RANA CONTARCTOR,18-Oct-2023 10:00 AM,Rejected-Finance,Reject,15-Dec-2023,Er. Munish Sharma EE,Internal,TA HDM AO Supdt. Gr-II,Munish Sharma,09-Nov-2023 12:58 PM,09-Nov-2023 02:00 PM,techsummary_119040.pdf (308.10 KB),1.0,378935.0,OM PARKASH SHARMA,INR,"14,933,648.5","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2023_HPIPH_79902_1,7593-7694 Dt. 07/10/2023,Providing irrigation facility to various village of Renuka ji Constituency under I PH Sub Division Sangarh by constructing rain water harvesting structure water bodies,Er.Rajeev Mahajan SE,Internal,JE D Supdtt.WS AE D EE Nohradhar EE D,Munish Sharma,15-Dec-2023 03:27 PM,finsummary_119040.pdf (2149.07 KB),1.0,Fee/PreQual/Technical,.pdf,"bid security duly pledged in favor of Executive Engineer, Jal Shakti Division Nohradhar as mentioned",Providing irrigation facility to various village of Renuka ji Constituency under I PH Sub Division Sangarh by constructing rain water harvesting structure water bodies,SH CO RCC Reservoir Barbed wire fencing wire crate work Head weir laying jointing of GMS pipe line in distribution system for village Rajana Kashlog Arat and KadiyanaJob 2,Please refer Tender documents. ,NA ,"1,85,91,338",Civil Works,NA ,Tender,120.0,120.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,"1,500",jal Shakti Division Nohradhar,Nohradhar,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",7593-7694 Dt. 07/10/2023,2023_HPIPH_79902_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,18,450",Yes,fixed,,Jal Shakti Division Nohradhar,Nohradhar,1.0,ICICI BANK,09-Oct-2023 10:00 AM,18-Oct-2023 12:30 PM,09-Oct-2023 11:00 AM,18-Oct-2023 11:30 AM,NA ,NA ,09-Oct-2023 11:00 AM,18-Oct-2023 11:30 AM,09-Nov-2023 02:00 PM,Executive Engineer JAl Shakti Division Nohradhar,Executive Engineer Jal Shakti Division Nohradhar
,,,,,,,,,,,,,,,,,,2.0,378946.0,Joginder Singh Pundeer,18-Oct-2023 10:52 AM,Rejected-Finance,Reject,15-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of bid form as shown above shall be submitted online as per online payment as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.0,378935.0,OM PARKASH SHARMA,17-Oct-2023 05:58 PM,Accepted-AOC,Award to contractor,22-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of registration with Jal Shakti Vibhag in appropriate class mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.0,378620.0,RAM KISHAN CHANDEL,16-Oct-2023 06:03 PM,Rejected-Finance,Reject,15-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of EPF registration PAN Card and GST registration as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding Joint venture is not allowed mentioning the work with date as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that I have carefully studied all the Term Conditions stipulated in the as mentioned N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid for job shall only be accepted the contractor successfully completed works as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit mentioning name of the work with date specifying that the benefit availed as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking mentioning name of the work with date that he will comply with the as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
