S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.3,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,ICICI BANK,"12,000",Nil,Nil,No,"Widening, strengthening and upgradation of road from Rangas to Bagchal via Mehre Barsar road from Km. 0/0 to 91/220","CRIF-HP-2023-24/184 Earth work, site clearance, sub-base, base course , Surface courses (Bituminous), drain, Cross drainage, R/B/Wall, W-Metal beam, road signs, Parapets, Cement concrete pavement, Interlocking paver block, Rain shelter etc. Km. 6/600",Please refer Tender documents. ,NA ,"22,62,67,733",Civil Works - Roads,NA ,Tender,75.0,365.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,Executive Engineer,"Executive Engineer Barsar Division, HP PWD",PWD,"Widening, strengthening and upgradation of road",2023_PWD_79898_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"45,25,000",No,fixed,,Nil,Nil,07-Oct-2023 06:30 PM,13-Oct-2023 11:00 AM,07-Oct-2023 06:30 PM,13-Oct-2023 10:30 AM,NA ,NA ,07-Oct-2023 06:30 PM,13-Oct-2023 10:30 AM,23-Oct-2023 10:30 AM,1.0,Regarding More then 2 works,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of Bidding Document through Online Mode,1.0,377099.0,Ajay Kumar Sood Engineers and Contractors,12-Oct-2023 09:03 PM,Rejected-Finance,L 3,09-Nov-2023,Technical,Tech bid opening summary,Rajinder Singh,13-Oct-2023 11:37 AM,technical_119035.pdf,1.0,Tender Revocation,Tender Revocation,09-Nov-2023 12:35 PM,corrigendum.pdf ,83.78,Financial Opening,1.0,376722.0,S.S.Chauhans Construction Private Limted,INR,"151,214,724",Finance,Financial bid opening summary,Rajinder Singh,09-Nov-2023 12:50 PM,finance_119035.pdf,BOQ Comparative Chart,PWD,2023_PWD_79898_1,"Widening, strengthening and upgradation of road","Widening, strengthening and upgradation of road from Rangas to Bagchal via Mehre Barsar road from Km. 0/0 to 91/220",Executive Enginner,Internal,Supdt HDM DAO AE,Rajinder Singh,18-Oct-2023 05:03 PM,23-Oct-2023 10:30 AM,techsummary_119035.pdf (218.35 KB),Chief Engineer HZ HPPWD Hamirpur,Internal,"SE(D) HPPWD Hamirpur, SE 8th circle HPPWD Hamirpur, EE HPPWD Division Barsar, Deputy Controller HPPWD HZ Hamirpur",Rajinder Singh,09-Nov-2023 01:12 PM,finsummary_119035.pdf (972.91 KB),18-Dec-2023,"INR 226,267,733",365.0,Rajinder Singh,18-Dec-2023 10:52 AM,award6to14.pdf (56.00 KB),"Widening, strengthening and upgradation of road from Rangas to Bagchal via Mehre Barsar road from Km. 0/0 to 91/220"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per ITB Cl. as per bidding documents (Online),2.0,377667.0,Atul Sharma,13-Oct-2023 10:08 AM,Rejected-Finance,L 4,09-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration/constitution as per ITB Cl 4.3(a),3.0,377638.0,OM PARKASH SHARMA AND SONS,12-Oct-2023 09:33 PM,Rejected-Finance,L 2,09-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover for last five years certified by charted accountant as per SBD,4.0,377378.0,RAJINDER INFRASTRUCTURE PVT LTD.,13-Oct-2023 09:45 AM,Rejected-Technical,Non Responsive,18-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3(a),5.0,376722.0,S.S.Chauhans Construction Private Limted,13-Oct-2023 09:27 AM,Accepted-AOC,work awarded,18-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 4.3(g) and as per sample format in Q.I.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of key personal as per ITB Cl 4.3(e) and Cl 4.5.4 List of staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of key plant and equipment as per ITB Cl 4.3(d) and ITB Cl 4.5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit Limit from the Bank as per ITB Cl 4.5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
