Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Er. Narender Kumar Verma,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,29-Mar-2023 04:15 PM,finsummary_104283.pdf (338.39 KB),02-Dec-2023,"INR 3,031,345",60.0,Dalip Singh Tomar,02-Dec-2023 11:26 AM,aoc.pdf (1038.00 KB),AOC,PWD,2023_PWD_69128_5,Tender/2022-23-13783-13832 dated 15.02.2023,"Periodical renewal on Badripur Jamniwala Parduni road km. 0/0 to 15/00. (SH-Repair of pot holes by providing and laying penetration WBM G-III, Correction layer and 30mm thick bituminious concrete in Km. 1/0 to 2/0) Under AMP for the year 2023-24.",Er. N. K. Verma,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Narender verma,28-Feb-2023 11:33 AM,28-Feb-2023 04:30 PM,techsummary_104283.pdf (851.79 KB),Technical,Bid Opening Summary,Narender verma,28-Feb-2023 11:22 AM,technical_104283.pdf,1.0,329371.0,Chanana Cont. Works,27-Feb-2023 10:03 AM,Accepted-AOC,Work Completed,02-Dec-2023,Finance,Fin Bid Opening Summary,Dalip Singh Tomar,29-Mar-2023 03:52 PM,finance_104283.pdf,BOQ Comparative Chart,1.0,329371.0,Chanana Cont. Works,INR,"3,125,718",PWD,Tender/2022-23-13783-13832 dated 15.02.2023,2023_PWD_69128_5,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"Periodical renewal on Badripur Jamniwala Parduni road km. 0/0 to 15/00. (SH-Repair of pot holes by providing and laying penetration WBM G-III, Correction layer and 30mm thick bituminious concrete in Km. 1/0 to 2/0) Under AMP for the year 2023-24.","Periodical renewal on Badripur Jamniwala Parduni road km. 0/0 to 15/00. (SH-Repair of pot holes by providing and laying penetration WBM G-III, Correction layer and 30mm thick bituminious concrete in Km. 1/0 to 2/0) Under AMP for the year 2023-24.",Please refer tender document ,NA ,"30,31,345",Civil Works - Roads,NA ,Tender,75.0,60.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender - indicated in schedule E at Sr. No. (ii),1.0,Name of work in tender notice,Other,,1.0,ICICI BANK,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),"53,000",No,fixed,,Nil,Nil,17-Feb-2023 04:30 PM,27-Feb-2023 11:00 AM,17-Feb-2023 05:00 PM,27-Feb-2023 10:30 AM,NA ,NA ,17-Feb-2023 05:00 PM,27-Feb-2023 10:30 AM,28-Feb-2023 04:30 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,327841.0,Manoj Chawla,27-Feb-2023 09:00 AM,Rejected-Finance,L2,29-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule F at sr. No. (I),,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 24.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report. Read Rule 26.2a only required for work costing more than 50 lac,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18( i.e. R.C,purchase bills,ownership/Affidavit etc",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,
