Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Cont.",Vinod Shyam,01-Dec-2023 02:26 PM,finsummary_120186.pdf (188.20 KB),PWD,2023_PWD_80699_18,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,"R/R Damages on Ghunda Talka Road in K.M. 0/00 to 2/300, C/o, R/Wall at R.D. 0/225 to 0/237, 0/970 to 0/978, 0/980 to 0/990, 1/045 to 1/058",18-Dec-2023,"INR 1,111,331",45.0,Vinod Shyam,18-Dec-2023 01:35 PM,1058.pdf (771.00 KB),1.0,382462.0,HEM LATA,INR,"1,153,336",Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contractor",Akhil Chauhan,28-Nov-2023 03:51 PM,28-Nov-2023 03:55 PM,techsummary_120186.pdf (5230.44 KB),Technical,Summary Uploaded,Akhil Chauhan,28-Nov-2023 03:50 PM,technical_120186.pdf,1.0,382462.0,HEM LATA,04-Nov-2023 04:26 PM,Accepted-AOC,lowest bidder to awarded the work,18-Dec-2023,Finance,SUMMARY UPLOADED,Vinod Shyam,01-Dec-2023 02:14 PM,finance_120186.pdf,BOQ Comparative Chart,"22,300",No,fixed,,Nil,Nil,Executive Engineer,HPPWD DIVISION KOTKHAI,"R/R Damages on Ghunda Talka Road in K.M. 0/00 to 2/300, C/o, R/Wall at R.D. 0/225 to 0/237, 0/970 to 0/978, 0/980 to 0/990, 1/045 to 1/058","R/R Damages on Ghunda Talka Road in K.M. 0/00 to 2/300, C/o, R/Wall at R.D. 0/225 to 0/237, 0/970 to 0/978, 0/980 to 0/990, 1/045 to 1/058",Please refer Tender documents. ,NA ,"11,11,330",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,ICICI BANK,PWD,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,2023_PWD_80699_18,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,27-Oct-2023 11:00 AM,06-Nov-2023 11:00 AM,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,NA ,NA ,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,28-Nov-2023 03:55 PM,500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382466.0,M/s Pardeep Sublaik,04-Nov-2023 04:07 PM,Rejected-Finance,L2 BIDDER,01-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
