Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Construction for Newly Up- Graded 50 Bedded Civil Hospital at Bhawarna (SH- Providing Fire Alarm System and P.A System),Construction for Newly Up- Graded 50 Bedded Civil Hospital at Bhawarna (SH- Providing Fire Alarm System and P.A System),Please refer Tender documents. ,NA ,"28,93,049",Electrical Works,NA ,Tender,120.0,180.0,Thural in Distt. Kangra,176107.0,NA ,NA ,NA ,Palampur,No ,No,Executive Engineer,Elect. Division HPPWD Palampur,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited (EMD),"50,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,"1,500",Nil,Nil,No,PWD,Elect. Division HPPWD Palampur,2022_PWD_60690_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,14-May-2022 10:00 AM,23-May-2022 11:30 AM,14-May-2022 10:00 AM,23-May-2022 10:00 AM,NA ,NA ,14-May-2022 10:00 AM,23-May-2022 10:00 AM,05-Jul-2022 11:30 AM,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO HDM/JDM,Dalip singh Patial,28-Jun-2022 04:36 PM,05-Jul-2022 11:30 AM,techsummary_91674.pdf (286.98 KB),PWD,2022_PWD_60690_2,Elect. Division HPPWD Palampur,Construction for Newly Up- Graded 50 Bedded Civil Hospital at Bhawarna (SH- Providing Fire Alarm System and P.A System),10-Dec-2023,"INR 2,893,049",180.0,Dalip singh Patial,10-Dec-2023 05:00 PM,Award9484-89.pdf (1606.00 KB),AS PER UPLOADED DOCUMENT,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO JDM of this office,Dalip singh Patial,23-Jul-2022 04:11 PM,finsummary_91674.pdf (130.63 KB),Finance,as per uploaded document,Dalip singh Patial,23-Jul-2022 04:07 PM,finance_91674.pdf,BOQ Comparative Chart,1.0,282989.0,Sudha Kumari,INR,"2,870,099",1.0,282718.0,AVNET SOLUTIONS,21-May-2022 01:07 PM,Rejected-Finance,L2,23-Jul-2022,Technical,as per uploaded document,Dalip singh Patial,28-Jun-2022 04:31 PM,technical_91674.pdf
,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,282309.0,COMPLETE COOLING SOLUTIONS LLP,22-May-2022 11:00 PM,Rejected-Technical,Technically Not Qualified,28-Jun-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,282806.0,Insat Techno Services,21-May-2022 12:18 PM,Rejected-Finance,L3,23-Jul-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,282989.0,Sudha Kumari,21-May-2022 10:37 PM,Accepted-AOC,L1,10-Dec-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
