Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,Name,Address,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Technical,Sum,Suresh Kumar Walia,22-Jul-2023 03:59 PM,technical_113262.pdf,1.0,359850.0,36jk builders and contractors,11-Jul-2023 05:36 PM,Rejected-Technical,Document not received as per requirement,22-Jul-2023,1.0,359145.0,Chamunda Construction Works,INR,"44,064,030",Finance,Summary,Sushil Kumar Dhadwal,05-Dec-2023 11:36 AM,finance_113262.pdf,BOQ Comparative Chart,05-Dec-2023,"INR 44,064,030",365.0,Sushil Kumar Dhadwal,05-Dec-2023 11:48 AM,Award.pdf (1299.00 KB),Award Letter,S.E. Palampur,Internal,Supdt. Gr-II Palampur A.E. (D) Palampur DAO Kangra E.E. kangra,Sushil Kumar Dhadwal,05-Dec-2023 11:41 AM,finsummary_113262.pdf (2206.78 KB),Superintending Engineer,Internal,"EE Kangra, AE(D), DAO Kangra, Supdt G-II (WS)",Suresh Kumar Walia,22-Jul-2023 04:01 PM,26-Jul-2023 11:30 AM,techsummary_113262.pdf (986.20 KB),PWD,2023_PWD_75631_1,4665.0,Improvement of Kachhiari to Simbal Khola via Tanda Kholi Kaled road km.0/0 to 9/080 in Tehsil Kangra Distt. Kangra (HP),1.0,Fee/PreQual/Technical,.pdf,Bid for Part-1 of the Bid as per Section-6,Executive Engineer,HPPWD Division Kangra,1.0,ICICI BANK,PWD,4665.0,2023_PWD_75631_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"8,85,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,05-Jul-2023 09:00 AM,13-Jul-2023 11:30 AM,05-Jul-2023 09:00 AM,12-Jul-2023 03:00 PM,NA ,NA ,05-Jul-2023 10:00 AM,12-Jul-2023 03:00 PM,26-Jul-2023 11:30 AM,Improvement of Kachhiari to Simbal Khola via Tanda Kholi Kaled road km.0/0 to 9/080 in Tehsil Kangra Distt. Kangra (HP),"(SH Formation cutting, passing places, retaining wall, cross drainage work, Granular Sub Base, WBM-II, WBM-III, Tarring work, side drain and parapets) under NABARD RIDF-XXVIII i/c five years routine maintenance)",Please refer Tender documents. ,NA ,"4,42,70,666",Civil Works - Roads,NA ,Tender,120.0,365.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No
,,,,,2.0,359145.0,Chamunda Construction Works,12-Jul-2023 08:39 AM,Accepted-AOC,Award,05-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No.3,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,359616.0,Ujjawal Singh,11-Jul-2023 05:53 PM,Rejected-Technical,Document not received as per requirement,22-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 C1-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q-1 Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (4.4B), (b) (i) along with location of HMP as per Govt. Notification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.6), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1 as per Section 2 C1 (4.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, Address of Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
