Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description
Er. Anil Kumar Sharma S.E. 1st Circle HPPWD Mandi,Internal,"Sh. Jagdish Chandel Supdt. Gr.II 1st Circle HPPWD Mandi Sh. Sanjay Kumar Sah DAO Gr.I HPPWD Seraj Division, Er. Chaman Singh Thakur EE HPPWD Seraj Division, Er. Jitender Vaidya EED 1st Circle Mandi",Anil Kumar Sharma,23-Dec-2023 04:51 PM,finsummary_121501.pdf (748.92 KB),27-Dec-2023,"INR 31,697,841.35",546.0,Anil Kumar Sharma,27-Dec-2023 04:19 PM,LOA_RAHIDHAR.pdf (283.00 KB),Letter of Acceptance No.PW-SE-Janjehli-107-Tender-Seraj-NABARD/2022- 16806-13 dated 27-12-2023,PWD,2023_PWD_81667_1,PW/SRJ/TA/2021-22-9407-09dt 8-11-2023,Construction of Balance work of Bagsaid Rahidhar Katyali Dhanwar Shikarimata road Km 0/00 to 10/230 in Distt Mandi HP,Er. Anil Kumar Sharma S.E. 1st Circle HPPWD Mandi,Internal,"Sh. Jagdish Chandel Supdt. GrII 1st Circle HPPWD Mandi Sh. Sanjay Kumar Sah DAO GrI HPPWD Seraj Division, Er. Chaman Singh Thakur EE HPPWD Seraj Division, Er. Jitender Vaidya EED 1st Circle Mandi",Anil Kumar Sharma,19-Dec-2023 04:16 PM,23-Dec-2023 11:00 AM,techsummary_121501.pdf (3080.51 KB),Technical,Eight Technical Bids Received in 2nd Call.,Anil Kumar Sharma,05-Dec-2023 10:43 AM,technical_121501.pdf,1.0,386737.0,AHC ASSOCIATES,30-Nov-2023 07:44 AM,Rejected-Finance,Being L5 Bidder.,23-Dec-2023,Finance,Seven financial bids opened.,Anil Kumar Sharma,23-Dec-2023 04:20 PM,finance_121501.pdf,BOQ Comparative Chart,1.0,385469.0,SURENDER KUMAR SHARMA,INR,"31,697,841.35","9,66,400",No,fixed,,Nil,Nil,EE Seraj at Janjehli,Executive Engineer HPPWD Seraj at Janjehli Distt. Mandi HP,"5,000",Nil,Nil,Yes,Construction of Balance work of Bagsaid Rahidhar Katyali Dhanwar Shikarimata road Km 0/00 to 10/230 in Distt Mandi HP,SH- Formation cutting R/wall CD works side drain Parapets Metalling and Tarring CC Pavements in Km 5/00 to 10/230 under NABARD RIDF-XXV,Please refer Tender documents. ,NA ,"4,83,19,881",Civil Works - Roads,NA ,Tender,75.0,546.0,Janjehli,175047.0,NA ,NA ,NA ,1st Circle HPPWD Mandi,No ,No,PWD,PW/SRJ/TA/2021-22-9407-09dt 8-11-2023,2023_PWD_81667_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,21-Nov-2023 03:00 PM,30-Nov-2023 11:00 AM,21-Nov-2023 03:00 PM,30-Nov-2023 09:00 AM,NA ,NA ,21-Nov-2023 03:00 PM,30-Nov-2023 09:00 AM,23-Dec-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD, Form of Bid for Part I of the bid, as per format given in Section 6"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,385799.0,MOHAN LAL,29-Nov-2023 06:48 PM,Rejected-Finance,Being L2 Bidder.,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,"Qualification Information (Q.I.) as per section 3 (1.1),(1.2), (1.3.1), (1.3.2), 1.3.3)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,386258.0,Munish kumar sharma,29-Nov-2023 01:48 PM,Rejected-Finance,Being L4 Bidder.,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per section 3 (1.4), (1.5), (1.6), (1.7)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,386289.0,Nveen Sharma,29-Nov-2023 12:17 PM,Rejected-Finance,Being L6 Bidder.,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per section 3 (1.8), (1.9), (1.10)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,385781.0,P.C Sankhyan,27-Nov-2023 09:43 PM,Rejected-Finance,Being L3 Bidder.,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per ITB Section 2 4.1.1, 4.2 (a), 4.2 (b), 4.2 (g), 4.2 (h), 4.2 (i), 4.2 (j), 4.2 (k)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,386461.0,PURAN CHAND,29-Nov-2023 08:47 PM,Rejected-Finance,Being L7 Bidder.,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per ITB Section 2 4.4A(a),4.4A(b), 4.4B(a)(i),(ii),4.4B(b)(i),(ii),4.4B(c)(i),(ii)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,385469.0,SURENDER KUMAR SHARMA,29-Nov-2023 07:51 PM,Accepted-AOC,Being L1 Bidder.,27-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Not more than 2 works in hand having awarded cost more than Rs.1.00 Crore
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,386230.0,Tilak Singh,29-Nov-2023 08:33 PM,Rejected-Technical,Non-Responsive,19-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/firm may likes to provide
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,"Form of Bid for Part II of the bid, as per format given in Section 6"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ
