Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
"Construction of road, road side drain side drains, at Ind. Area Rit, Distt. Hamirpur(HP) (SH- C/o road, road side drains, culverts, retaining structure upto RD370 mtrs. (Balance work).","C/o road, road side drains, culverts, retaining structure upto RD370 mtrs. (Balance work).",Please refer Tender documents. ,NA ,"33,89,515",Civil Works,NA ,Tender,120.0,180.0,Nadaun,177042.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,ICICI BANK,"4,000",Nil,Nil,No,1.0,Corrigendum for date extension,Date,,03-Jun-2023 12:00 PM,24-Jun-2023 11:00 AM,03-Jun-2023 12:00 PM,23-Jun-2023 05:00 PM,NA ,NA ,03-Jun-2023 12:00 PM,23-Jun-2023 05:00 PM,21-Jul-2023 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),HP SIDC Limited,Job No. 11,2023_SIDC_74400_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Shimla,"67,800",No,fixed,,Nil,Nil,1.0,356271.0,ashok Thakur,INR,"4,945,548",05-Dec-2023,"INR 4,945,548",180.0,Sushant Singh Negi,19-Dec-2023 11:02 AM,ashokritaoc.pdf (2138.00 KB),Award letter,HP SIDC Limited,2023_SIDC_74400_1,Job No. 11,"Construction of road, road side drain side drains, at Ind. Area Rit, Distt. Hamirpur(HP) (SH- C/o road, road side drains, culverts, retaining structure upto RD370 mtrs. (Balance work).",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,24-Jul-2023 03:14 PM,finsummary_111591.pdf (42.46 KB),Finance,Financial Summary,Sushant Singh Negi,24-Jul-2023 03:11 PM,finance_111591.pdf,BOQ Comparative Chart,1.0,353247.0,AJIT SINGH GOVT CONTRACTOR,12-Jun-2023 04:15 PM,Rejected-Finance,Third lowest bidder,24-Jul-2023,Technical,Tender Summary,BHUP SINGH,21-Jul-2023 11:41 AM,technical_111591.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",BHUP SINGH,21-Jul-2023 11:45 AM,21-Jul-2023 02:00 PM,techsummary_111591.pdf (524.69 KB)
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,356271.0,ashok Thakur,23-Jun-2023 03:30 PM,Accepted-AOC,AOC,19-Dec-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,355055.0,bhanu partap singh,22-Jun-2023 12:21 PM,Rejected-Finance,Fifth lowest bidder,24-Jul-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,354853.0,PUNEET KUMAR GOVT CONTRACTOR,16-Jun-2023 03:20 PM,Rejected-Finance,Fourth lowest bidder,24-Jul-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,353050.0,sonu,09-Jun-2023 03:06 PM,Rejected-Technical,The sucessfully completed work done minimum amount not less than 40 percent of estimated cost has not submitted as per tender condition,21-Jul-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,352960.0,SUBHASH CHAND GOVT CONTRACTOR,12-Jun-2023 02:29 PM,Rejected-Finance,Second lowest bidder,24-Jul-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per tender conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
