Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),"Executive Engineer HPPWD., Shahpur Division","Executive Engineer HPPWD., Shahpur Division",Periodic Maintenance for Ranital to 32 mile (Kotla) road under AMP District Kangra for the Year 2023-2024 MDR (HP0423MDR088),SH- P/L 30mm Thick Bituminous Concrete laying with Paver Finisher in km 21/0 to 22/0 and 22/0 to 23/0.,Please refer Tender documents. ,NA ,"54,50,838",Civil Works,NA ,Tender,120.0,90.0,Works,176206.0,NA ,NA ,NA ,"Executive Engineer HPPWD., Shahpur Division",No ,No,"1,09,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,14-Feb-2023 10:00 AM,21-Feb-2023 10:30 AM,14-Feb-2023 10:00 AM,21-Feb-2023 10:00 AM,NA ,NA ,14-Feb-2023 10:00 AM,21-Feb-2023 10:00 AM,28-Feb-2023 11:00 AM,PWD,7025-84 dated 04-02-2023,2023_PWD_68764_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,Er. Rajeev Sharma,Internal,"Er. Vipul Punj A.E. Shahpur, Er. Vivek kalia A.E. Gaggal, Sh. Anurag Sharma Sr. Asstt.",Rajeev Kumar,27-Feb-2023 02:25 PM,28-Feb-2023 11:00 AM,techsummary_103722.pdf (744.49 KB),PWD,2023_PWD_68764_4,7025-84 dated 04-02-2023,Periodic Maintenance for Ranital to 32 mile (Kotla) road under AMP District Kangra for the Year 2023-2024 MDR (HP0423MDR088),29-Dec-2023,"INR 5,719,416.7",90.0,Vipul Punj,29-Dec-2023 03:55 PM,Award1.pdf (1465.00 KB),Executive Engineer,Internal,"AE Gaggal , Shahpur, Sr. Assistant Shahpur divison",Vipul Punj,29-Dec-2023 03:50 PM,finsummary_103722.pdf (756.42 KB),1.0,325935.0,rajat thakur govt contractor,20-Feb-2023 06:18 PM,Rejected-Finance,Highest rate,29-Dec-2023,Technical,Summary,Rajeev Kumar,27-Feb-2023 02:19 PM,technical_103722.pdf,Finance,bid opening summary,Vipul Punj,29-Dec-2023 03:42 PM,finance_103722.pdf,BOQ Comparative Chart,1.0,325415.0,Rakesh Mahajan Govt Contractor,INR,"5,587,586"
,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,325415.0,Rakesh Mahajan Govt Contractor,19-Feb-2023 04:42 PM,Accepted-AOC,Negotiated Rates,29-Dec-2023,,,,,,,,,,,,,,,,
,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding HMP installed within 25 Kms from site of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
