Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
26-Sep-2023 05:00 PM,06-Oct-2023 11:30 AM,26-Sep-2023 05:00 PM,06-Oct-2023 11:00 AM,NA ,NA ,26-Sep-2023 05:00 PM,06-Oct-2023 11:00 AM,17-Oct-2023 12:30 PM,1.0,ICICI BANK,500.0,Nil,Nil,No,C/O link road Choundha to Kulthi from km. 0/0 to 1/400,(SH- P/L M/T work),Please refer Tender documents. ,NA ,"18,90,408",Civil Works - Roads,NA ,Tender,120.0,60.0,works,176001.0,NA ,NA ,NA ,Kangra,No ,No,1.0,Fee/PreQual/Technical,.pdf,receipt of tender cost and earnest money,Executive Engineer,"Executive Engineer, HPPWD., Division, Kangra",PWD,5030-79 dated 21-9-2023,2023_PWD_79379_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"38,000",No,fixed,,Nil,Nil,1.0,376003.0,garg,04-Oct-2023 03:46 PM,Accepted-AOC,Award,30-Dec-2023,Technical,Summary,Sushil Kumar Dhadwal,17-Oct-2023 12:20 PM,technical_118336.pdf,1.0,376003.0,garg,INR,"1,942,545",Finance,Summary,Sushil Kumar Dhadwal,30-Dec-2023 02:45 PM,finance_118336.pdf,BOQ Comparative Chart,PWD,2023_PWD_79379_2,5030-79 dated 21-9-2023,C/O link road Choundha to Kulthi from km. 0/0 to 1/400,Er. Sushil Kumar Dhadwal,Internal,A.E. kangra Sr. DAO Supdt. Gr-II Draughtsman,Sushil Kumar Dhadwal,17-Oct-2023 12:25 PM,17-Oct-2023 12:30 PM,techsummary_118336.pdf (725.83 KB),Er. Sushil Kumar Dhadwal,Internal,A.E. Kangra Sr. DAO Kangra DHD Kangra Supdt. Gr-II Kangra,Sushil Kumar Dhadwal,30-Dec-2023 02:48 PM,finsummary_118336.pdf (336.55 KB),30-Dec-2023,"INR 1,890,408",60.0,Sushil Kumar Dhadwal,30-Dec-2023 02:50 PM,Award.pdf (1167.00 KB),Award
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,2.0,376127.0,Pritam Singh Thakur,05-Oct-2023 02:23 PM,Rejected-Finance,Rate quoted higher side of L1,30-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per clause 36(1)(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,3.0,376404.0,Rohit,06-Oct-2023 10:10 AM,Not Admitted-Fee/PreQual/Technical,Others-Bid Cancelled as per his request received,17-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,4.0,376162.0,Ujjawal Singh,06-Oct-2023 09:42 AM,Not Admitted-Fee/PreQual/Technical,Others-Bid Cancelled as per his request received,17-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General rule No.19 and 28.2b and Sr. No.-4 schedule D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of equipment to be provided by the contractor at site as per Sr. No. 6.14 refer clause No. 10(A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No. 8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Incomplete documents will not be entertained after opening the T/Bid which may loaded carefully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
