Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Er Daleep Singh Kaundal,Internal,"Sh Padam Bahadur SupdtGr-II, Sh Padam Bahadur Supdt.GR-II, Kishan Singh DM",Jai Lal Kanta,09-Nov-2023 10:50 AM,finsummary_117821.pdf (67.90 KB),31-Dec-2023,"INR 833,140",120.0,Daleep Singh Kaundal,07-Mar-2024 03:15 PM,AOCREENA.PDF (316.00 KB),AOC,PWD,2023_PWD_79013_6,PW/SRN/CB/Tender/-4682-4732 dt 15.09.2023,R/R damages on Mari Ka Ghat Dinger Mathanan road Km 0/0 to 22/0(SH C/O PCC R/Wall at Rd 1/695 to 1/720),Er Daleep Singh Kaundal,Internal,"Padam Bahadur Supdt Gr-ii, , Kishan Singh DM",Jai Lal Kanta,13-Oct-2023 01:23 PM,13-Oct-2023 01:25 PM,techsummary_117821.pdf (101.49 KB),Finance,summary,Jai Lal Kanta,09-Nov-2023 10:40 AM,finance_117821.pdf,BOQ Comparative Chart,1.0,374292.0,REENA KUMARI,INR,"833,140",Technical,SUMMARY,Jai Lal Kanta,13-Oct-2023 01:01 PM,technical_117821.pdf,1.0,374416.0,NISHU BALA,26-Sep-2023 07:57 PM,Rejected-Finance,L2,09-Nov-2023,1.0,ICICI BANK,19-Sep-2023 11:00 AM,27-Sep-2023 11:30 AM,19-Sep-2023 11:10 AM,27-Sep-2023 10:30 AM,19-Sep-2023 11:00 AM ,27-Sep-2023 09:00 AM ,19-Sep-2023 11:30 AM,27-Sep-2023 10:30 AM,13-Oct-2023 01:25 PM,350.0,Nil,Nil,No,EE HPPWD Sarahan,EE HPPWD SARAHAN,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,"19,000",No,fixed,,Nil,Nil,PWD,PW/SRN/CB/Tender/-4682-4732 dt 15.09.2023,2023_PWD_79013_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,R/R damages on Mari Ka Ghat Dinger Mathanan road Km 0/0 to 22/0(SH C/O PCC R/Wall at Rd 1/695 to 1/720),R/R damages on Mari Ka Ghat Dinger Mathanan road Km 0/0 to 22/0(SH C/O PCC R/Wall at Rd 1/695 to 1/720),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,120.0,EE HPPWD SARAHAN,173024.0,NA ,NA ,NA ,EE.HPPWD SARAHAN,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,374292.0,REENA KUMARI,26-Sep-2023 05:02 PM,Accepted-AOC,awarded,07-Mar-2024,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS CONDITIONS CONTRACT CLAUSES Refer Gener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY TOOL PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
