S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,PWD,NIT No. 4951-5001 dated 13-06-2023,2023_PWD_75374_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Date Addendum,Date,,Executive Engineer,Shimla Rural Division HPPWD Dhami,"5,000",Nil,Nil,No,22-Jun-2023 06:30 PM,20-Jul-2023 12:00 PM,22-Jun-2023 06:30 PM,19-Jul-2023 06:30 PM,NA ,NA ,26-Jun-2023 06:30 PM,19-Jul-2023 06:30 PM,11-Aug-2023 03:00 PM,"24,50,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Construction of H.P National Law University at Ghandal Distt. Shimla(SH- Construction of Girls Hostel-02 only),"SH- Building Portion, WS, SI, Rain water harvesting Tank, Septic Tank, Site Development etc.).",As per tender documents ,NA ,"14,50,41,461",Civil Works - Buildings,NA ,Tender,75.0,730.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,PWD,2023_PWD_75374_1,NIT No. 4951-5001 dated 13-06-2023,Construction of H.P National Law University at Ghandal Distt. Shimla(SH- Construction of Girls Hostel-02 only),S.E 4th Circle,Internal,"E.E Dhami, A.E. 4th Circle, Sr. DAO, DHD, Supdt. Gr-II",Naveen Singh Kaundal,10-Aug-2023 12:16 PM,11-Aug-2023 03:00 PM,techsummary_112932.pdf (643.18 KB),Er. Rajesh Aggarwal,Internal,"Supdt.Gr-II Sr. DAO, HDM",Naveen Singh Kaundal,20-Sep-2023 01:21 PM,finsummary_112932.pdf (109.35 KB),15-Dec-2023,"INR 145,041,461",730.0,Rajesh Aggarwal,15-Dec-2023 02:12 PM,NLUAOC.pdf (362.00 KB),AOC,Finance,Finance Bid opening summary,Naveen Singh Kaundal,11-Aug-2023 05:37 PM,finance_112932.pdf,BOQ Comparative Chart,1.0,358645.0,Madan Builders,INR,"123,125,696",1.0,357450.0,achievement infrastructure pvt. limited,18-Jul-2023 02:01 PM,Rejected-Finance,Being Higher than L-1,20-Sep-2023,Technical,Technical Bid opening summary,Naveen Singh Kaundal,21-Jul-2023 01:21 PM,technical_112932.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,358821.0,Ajay Kumar Sood Engineers and Contractors,14-Jul-2023 04:27 PM,Rejected-Technical,Non-responsive,10-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,359662.0,", D.S.Rathore",19-Jul-2023 02:54 PM,Rejected-Technical,Non-responsive,10-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,360174.0,KDN Infrastructure Pvt. Ltd.,14-Jul-2023 01:34 PM,Rejected-Technical,Non-responsive,10-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as Per General Rule 26.2.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,358645.0,Madan Builders,06-Jul-2023 07:00 PM,Accepted-AOC,AOC,15-Dec-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand in accordance with General Rule 24.5 strictly as per schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,360386.0,M L Gupta Associates,19-Jul-2023 07:40 AM,Rejected-Finance,Being Higher than L-1,20-Sep-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Skilled/Semi Skilled Tradsmen as per Clause of 19k of GCC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,359143.0,Shiv Kumar Kuthiala,14-Jul-2023 12:52 PM,Rejected-Finance,Being Higher than L-1,20-Sep-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,358663.0,UNIPRO,19-Jul-2023 12:01 PM,Rejected-Technical,Non-responsive,10-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
