Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
Executive Engineer,Division HPPWD Bharwain,1.0,ICICI BANK,18-Jul-2023 05:00 PM,24-Jul-2023 11:30 AM,18-Jul-2023 05:00 PM,23-Jul-2023 05:00 PM,NA ,NA ,18-Jul-2023 05:00 PM,23-Jul-2023 05:00 PM,31-Jul-2023 11:30 AM,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,All conditions shown in NIT,Const of link road Govt. Middle School Badmana to Behrian Basti via Lambad Basti in GP Badmana km 000 to 1500 SH Formation cutting filling between km 000 to 0510 and Const of 6 meter span RCC slab culvert at RD 0270 under MNP,Const of link road Govt. Middle School Badmana to Behrian Basti via Lambad Basti in GP Badmana km 000 to 1500 SH Formation cutting filling between km 000 to 0510 and Const of 6 meter span RCC slab culvert at RD 0270 under MNP,As per tender document  ,NA ,"19,75,843",Civil Works,road ,Tender,75.0,180.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,PWD,LR Govt Middle School Badmana under Bharwain,2023_PWD_76354_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"37,200",No,fixed,,Nil,Nil,Finance,Proceeding attached,Nitin Chaudhary,09-Aug-2023 05:00 PM,finance_114210.pdf,BOQ Comparative Chart,1.0,361970.0,SAHIL THAKUR,INR,"1,324,012",1,361940,Ajmer Singh Govt. Contractor,22-Jul-2023 07:15 PM,Rejected-Finance,Reject,09-Aug-2023,Technical,summary attached,Nitin Chaudhary,28-Jul-2023 02:52 PM,technical_114210.pdf,PWD,2023_PWD_76354_1,LR Govt Middle School Badmana under Bharwain,Const of link road Govt. Middle School Badmana to Behrian Basti via Lambad Basti in GP Badmana km 000 to 1500 SH Formation cutting filling between km 000 to 0510 and Const of 6 meter span RCC slab culvert at RD 0270 under MNP,ER Dinakar Sharma,Internal,Summary attached,Nitin Chaudhary,28-Jul-2023 02:57 PM,31-Jul-2023 11:30 AM,techsummary_114210.pdf (2336.82 KB),ER Dinakar Sharma,Internal,Proceeding attached,Nitin Chaudhary,09-Aug-2023 05:15 PM,finsummary_114210.pdf (665.99 KB),27-Dec-2023,"INR 1,975,843",180.0,Dinkar Sharma,28-Dec-2023 11:57 AM,AWNo13251-59dt27122023.PDF (270.00 KB),AW No. 13251-59 dated 27-12-2023
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,361945,Arjun Singh Govt Contractor,23-Jul-2023 10:42 AM,Rejected-Finance,Reject,09-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,361195,Chain Singh,23-Jul-2023 01:00 PM,Rejected-Finance,Reject,09-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,361597,Gaurav Kumar,23-Jul-2023 01:30 PM,Rejected-Finance,Reject,09-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,361710,MAHINDER SINGH,23-Jul-2023 11:37 AM,Rejected-Finance,Reject,09-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,361599,Ram,22-Jul-2023 07:10 PM,Rejected-Finance,Reject,09-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,361985,Ramesh Chand,23-Jul-2023 12:47 PM,Rejected-Finance,Reject,09-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,361973,Rohit Thakur,23-Jul-2023 08:18 AM,Rejected-Finance,Reject,09-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,361950,Sachin Kumar,23-Jul-2023 04:30 PM,Rejected-Finance,Reject,09-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,361970,SAHIL THAKUR,22-Jul-2023 10:20 PM,Accepted-AOC,ok,28-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
