Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Finance,as per uploaded document,Dalip singh Patial,19-Jul-2022 02:34 PM,finance_91406.pdf,BOQ Comparative Chart,1.0,282415.0,Himalayaan Forth Dimension,INR,"2,213,263",Technical,as per uploaded document,Dalip singh Patial,08-Jul-2022 01:35 PM,technical_91406.pdf,1.0,282415.0,Himalayaan Forth Dimension,17-May-2022 08:28 PM,Accepted-AOC,l1,10-Dec-2023,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO HDM/JDM of this office,Dalip singh Patial,19-Jul-2022 02:36 PM,finsummary_91406.pdf (135.52 KB),10-Dec-2023,"INR 2,265,814",180.0,Dalip singh Patial,10-Dec-2023 04:21 PM,3982-87aWARD.pdf (1000.00 KB),AWARDED TO THE LOWEST BIDDER,PWD,2022_PWD_60500_1,Elect. Division HPPWD Palampur,"C/O Rajeev Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in Tehsil Nagrota Bagwan Distt. Kangra (HP) (SH- Providing Passive Components including cables for data, voice and video surveillance system to Administration block) (sp. job)",Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO HDM/JDM of this office,Dalip singh Patial,08-Jul-2022 01:39 PM,12-Jul-2022 11:30 AM,techsummary_91406.pdf (206.87 KB),"41,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,11-May-2022 10:00 AM,18-May-2022 11:30 AM,11-May-2022 10:00 AM,18-May-2022 10:00 AM,NA ,NA ,11-May-2022 10:00 AM,18-May-2022 10:00 AM,12-Jul-2022 11:30 AM,500.0,Nil,Nil,No,1.0,ICICI BANK,"C/O Rajeev Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in Tehsil Nagrota Bagwan Distt. Kangra (HP) (SH- Providing Passive Components including cables for data, voice and video surveillance system to Administration block) (sp. job)","C/O Rajeev Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in Tehsil Nagrota Bagwan Distt. Kangra (HP) (SH- Providing Passive Components including cables for data, voice and video surveillance system to Administration block) (sp. job)",Please refer Tender documents. ,NA ,"22,65,814",Electrical Works,NA ,Tender,120.0,180.0,Nagrota Bagwan in Distt. Kangra,176047.0,NA ,NA ,NA ,Palampur,No ,No,Executive Engineer,Elect. Division HPPWD Palampur,PWD,Elect. Division HPPWD Palampur,2022_PWD_60500_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,2.0,282669.0,SPL Info Pathway Pvt. Ltd,18-May-2022 09:05 AM,Rejected-Finance,L2,19-Jul-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per BOQ duly signed by OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration duly signed by the bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
