Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
Executive Engineer,"Theog Division, HPPWD., THEOG","11,000",No,fixed,,Nil,Nil,Construction of Block Elementary Building Matiana,C/O PCC R/wall at left hand side and B/wall at right hand side of buuilding,as per GCC ,NA ,"5,48,808",Civil Works - Buildings,NA ,Tender,30.0,30.0,Theog Tehsil Theog District Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,PWD,THD/CB-tender/2023-6149-63,2023_PWD_78349_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,04-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,04-Sep-2023 11:00 AM,10-Sep-2023 05:00 PM,NA ,NA ,04-Sep-2023 11:00 AM,10-Sep-2023 05:00 PM,30-Sep-2023 04:00 PM,Er.Arvind Kumar Bhardwaj E.E,Internal,"Sant Ram, Supdt. Gr-II, Jia Lal Head Draughtsman, Leela Verma, Sr. Asstt.",Arvind Kumar Bhardwaj,30-Sep-2023 03:36 PM,30-Sep-2023 04:00 PM,techsummary_116869.pdf (525.11 KB),PWD,2023_PWD_78349_6,THD/CB-tender/2023-6149-63,Construction of Block Elementary Building Matiana,05-Dec-2023,"INR 548,808",30.0,Arvind Kumar Bhardwaj,14-Dec-2023 04:24 PM,Award.pdf (584.00 KB),award,Er.Arvind Kumar Bhardwaj E.E,Internal,"Jia Lal, Head Draughtsman",Arvind Kumar Bhardwaj,05-Dec-2023 12:41 PM,finsummary_116869.pdf (435.19 KB),1.0,370649.0,BHUPENDER HETTA,09-Sep-2023 04:05 PM,Rejected-Finance,Being higher rates,05-Dec-2023,Technical,Bid Opening Summary,Ajay Gazta,13-Sep-2023 11:55 AM,technical_116869.pdf,1.0,370820.0,RAJESH CHANDEL,INR,"570,760",Finance,Financial Bid opening summary,Arvind Kumar Bhardwaj,04-Oct-2023 04:03 PM,finance_116869.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,370820.0,RAJESH CHANDEL,09-Sep-2023 02:28 PM,Accepted-AOC,Being L1,14-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,370821.0,Ranjeet Kanwar,09-Sep-2023 11:19 AM,Rejected-Technical,Technically non responswive,30-Sep-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE 26.2.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,370615.0,Sanjay Kumar,08-Sep-2023 11:46 AM,Rejected-Finance,Being higher rates,05-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card 28.1.2B(i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,370211.0,Vikas Sharma,09-Sep-2023 02:26 PM,Rejected-Technical,Technically non responsive,30-Sep-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952 22A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of both Gazette and non-gazette HPPWD Employees related to him 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents 28.1.2.B(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quanity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
