Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
29-Dec-2023,"INR 4,902,706",180.0,Manish Sehgal,29-Dec-2023 05:05 PM,BethinMuchhan.pdf (2379.00 KB),Tender Amount,Executive Engineer,Internal,Supdt DAO DHD AE,Manish Sehgal,29-Dec-2023 05:02 PM,finsummary_117600.pdf (70.58 KB),Executive Engineer,Internal,"Supdt Gr.II, DHD,DAO,AE",Manish Sehgal,03-Oct-2023 04:10 PM,03-Oct-2023 04:15 PM,techsummary_117600.pdf (1061.45 KB),PWD,2023_PWD_78854_1,6776-80 dated 13/09/2023,Completion and strengthening of Berthin Chatt Karloti Dangar Targhel Taroun Ladrour road (Portion Gugga Mohra Kapahra Muchhan road km 0/00 to 3/375),Finance,summary,Manish Sehgal,29-Dec-2023 05:00 PM,finance_117600.pdf,BOQ Comparative Chart,1.0,373636.0,MSC Roads and Bridges Private Limited,INR,"4,902,706",Technical,technical bid evolvation,Manohar Lal Sharma,03-Oct-2023 04:04 PM,technical_117600.pdf,1.0,373406.0,ARVIND KUMAR,23-Sep-2023 01:50 PM,Rejected-Technical,Non Responsive,03-Oct-2023,PWD,6776-80 dated 13/09/2023,2023_PWD_78854_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,HP.PWD Ghumarwin Division,Completion and strengthening of Berthin Chatt Karloti Dangar Targhel Taroun Ladrour road (Portion Gugga Mohra Kapahra Muchhan road km 0/00 to 3/375),Completion and strengthening of Berthin Chatt Karloti Dangar Targhel Taroun Ladrour road (Portion Gugga Mohra Kapahra Muchhan road km 0/00 to 3/375) (SH P/L 50mm thick bituminous macadam in km 0/00 to 3/375),please refer tender docuement ,NA ,"46,83,978",Civil Works - Roads,ROADS ,Tender,90.0,180.0,Ghumarwin,174021.0,HP.PWD Ghumarwin Division ,HP.PWD Ghumarwin Division ,23-Sep-2023 11:00 AM ,HP.PWD Ghumarwin Division,No ,No,"2,000",Nil,Nil,No,16-Sep-2023 10:30 AM,25-Sep-2023 11:00 AM,16-Sep-2023 10:30 AM,25-Sep-2023 10:30 AM,NA ,NA ,16-Sep-2023 10:30 AM,25-Sep-2023 10:30 AM,03-Oct-2023 04:15 PM,"77,800",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form and EM (Proforma of Schedules)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,373636.0,MSC Roads and Bridges Private Limited,24-Sep-2023 05:26 PM,Accepted-AOC,L1,29-Dec-2023,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,373401.0,Pradeep Kumar,23-Sep-2023 02:33 PM,Rejected-Technical,Non Responsive,03-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No ,Pan No. and EPF No(General Rules No.21)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,373396.0,Rakesh Kumar,23-Sep-2023 01:53 PM,Rejected-Technical,Non Responsive,03-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done for last 05years and work in Hand Certi dully signed by concerned. Autho/EE (Gen. Rules
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,373816.0,SUMESH KUMAR,24-Sep-2023 06:45 PM,Rejected-Finance,L2,29-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plants and Laboratory Equipment etc. (as shown in Schedule-F)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form 7, 8 dully signed by Contractor with seal (Refer schedule A to F)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Financial Turnover for at least Five years dully verified/checked by the Charted-Accountant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Original documents before scheduled time of opening time of technical bids
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All GCC will be applicable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
