Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name
PWD,2022_PWD_58314_16,Tender/2021-22-13485-13534 dated 14.03.2022,Periodical renewal on Badripur to Parduni road (SH-Repair of pot holes by providing penetration for correction layer and 30mm thick bituminous concrete in km.0/0 to 1/0) under AMP for the year 2022-23.,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,30-May-2022 12:19 PM,finsummary_88245.pdf (314.21 KB),1.0,272534.0,Chanana Cont. Works,INR,"3,486,245",02-Dec-2023,"INR 3,999,600",90.0,Dalip Singh Tomar,02-Dec-2023 04:06 PM,aoc.pdf (1027.00 KB),AOC,1.0,272534.0,Chanana Cont. Works,28-Mar-2022 09:54 PM,Accepted-AOC,Work Completed,02-Dec-2023,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,31-Mar-2022 01:08 PM,31-Mar-2022 03:00 PM,techsummary_88245.pdf (880.58 KB),Technical,Bid Opening Summary,Kishan Lal Chaudhary,31-Mar-2022 12:02 PM,technical_88245.pdf,Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,30-May-2022 12:09 PM,finance_88245.pdf,BOQ Comparative Chart,"67,500",No,fixed,,Nil,Nil,PWD,Tender/2021-22-13485-13534 dated 14.03.2022,2022_PWD_58314_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,21-Mar-2022 04:30 PM,29-Mar-2022 11:00 AM,21-Mar-2022 05:00 PM,29-Mar-2022 10:30 AM,NA ,NA ,21-Mar-2022 05:00 PM,29-Mar-2022 10:30 AM,31-Mar-2022 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii)Earnest money- schedule f at sr. No. (i),Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),Periodical renewal on Badripur to Parduni road (SH-Repair of pot holes by providing penetration for correction layer and 30mm thick bituminous concrete in km.0/0 to 1/0) under AMP for the year 2022-23.,Periodical renewal on Badripur to Parduni road (SH-Repair of pot holes by providing penetration for correction layer and 30mm thick bituminous concrete in km.0/0 to 1/0) under AMP for the year 2022-23.,Please refer tender document ,NA ,"39,99,600",Civil Works - Roads,NA ,Tender,75.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,2.0,273587.0,H. C. Bansal Engg. & Contt.,29-Mar-2022 01:49 AM,Rejected-Finance,L4,30-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,3.0,271777.0,Manoj Chawla,28-Mar-2022 04:34 PM,Rejected-Finance,L3,30-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.0,272965.0,M/S Sharma Enterpirses,29-Mar-2022 12:16 AM,Rejected-Finance,L2,30-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18(i.e.R.C,purchase bills,ownership/Affidavit etc.)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,If contractor has not his own machinery and takes it on hire basis then affidavit required from owne,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding true and correct.,,,,,,,,,,,,,,,,,,,,,,
