Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"R/R Damages on Gumma Jashla Reoghati Road in K.M. 0/00 to 29/600, C/o, R/Wall at various RD between in K.M. 1/00 to 4/00 and B/Wall at various RDs between in K.M. 1/00 to 4/00","R/R Damages on Gumma Jashla Reoghati Road in K.M. 0/00 to 29/600, C/o, R/Wall at various RD between in K.M. 1/00 to 4/00 and B/Wall at various RDs between in K.M. 1/00 to 4/00",Please refer Tender documents. ,NA ,"31,99,357",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,ICICI BANK,03-Nov-2023 11:00 AM,09-Nov-2023 11:00 AM,03-Nov-2023 11:00 AM,08-Nov-2023 06:00 PM,NA ,NA ,03-Nov-2023 11:00 AM,08-Nov-2023 06:00 PM,29-Nov-2023 04:30 PM,"64,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Executive Engineer,HPPWD DIVISION KOTKHAI,"1,500",Nil,Nil,No,PWD,PW-KD-E-Tender/2023-24- 4724-28 Dated 26-10-2023,2023_PWD_80813_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,383262.0,HEM LATA,08-Nov-2023 02:45 PM,Rejected-Finance,L2 BIDDER,04-Dec-2023,Technical,summary uploaded,Akhil Chauhan,29-Nov-2023 04:28 PM,technical_120320.pdf,1.0,383247.0,M/s Pardeep Sublaik,INR,"3,339,250",Finance,SUMMARY UPLOADED,Akhil Chauhan,04-Dec-2023 12:22 PM,finance_120320.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"XEN, AE Supdt. HDM and Contr.",Akhil Chauhan,29-Nov-2023 04:29 PM,29-Nov-2023 04:30 PM,techsummary_120320.pdf (3272.32 KB),PWD,2023_PWD_80813_9,PW-KD-E-Tender/2023-24- 4724-28 Dated 26-10-2023,"R/R Damages on Gumma Jashla Reoghati Road in K.M. 0/00 to 29/600, C/o, R/Wall at various RD between in K.M. 1/00 to 4/00 and B/Wall at various RDs between in K.M. 1/00 to 4/00",18-Dec-2023,"INR 3,175,135",45.0,Vinod Shyam,18-Dec-2023 01:11 PM,29600.pdf (951.00 KB),Executive Engineer,Internal,"XEN, AE, Supdt HDM and Contr.",Akhil Chauhan,04-Dec-2023 12:25 PM,finsummary_120320.pdf (194.80 KB)
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,2.0,383247.0,M/s Pardeep Sublaik,08-Nov-2023 02:27 PM,Accepted-AOC,lowest bidder to awarded the work,18-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
