Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
"1,500",Nil,Nil,No,27-Oct-2023 11:00 AM,06-Nov-2023 11:00 AM,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,NA ,NA ,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,28-Nov-2023 03:05 PM,1.0,ICICI BANK,PWD,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,2023_PWD_80699_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"58,600",No,fixed,,Nil,Nil,Executive Engineer,HPPWD DIVISION KOTKHAI,"Improvement of Mandroli Kuri Kharyana Road in K.M. 0/00 to 5/500, ROFD in K.M. 0/195 to 1/465 and C/o culver with wing wall at R.D. 0/695 and C/o, B/Wall at R.D. 1/300 to 1/323, 1/382 to 1/405 and 1/450 to 1/460","Improvement of Mandroli Kuri Kharyana Road in K.M. 0/00 to 5/500, ROFD in K.M. 0/195 to 1/465 and C/o culver with wing wall at R.D. 0/695 and C/o, B/Wall at R.D. 1/300 to 1/323, 1/382 to 1/405 and 1/450 to 1/460",Please refer Tender documents. ,NA ,"29,28,093",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Finance,summary uploaded,Vinod Shyam,01-Dec-2023 01:48 PM,finance_120167.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"XEN, AE, SUPDT. HDM, AND CONTRACTOR",Akhil Chauhan,28-Nov-2023 03:03 PM,28-Nov-2023 03:05 PM,techsummary_120167.pdf (6393.74 KB),Technical,summary uploaded,Akhil Chauhan,28-Nov-2023 03:01 PM,technical_120167.pdf,1.0,382127.0,RAJINDER CHAUHAN,02-Nov-2023 06:35 PM,Rejected-Finance,L1 BIDDER,01-Dec-2023,23-Dec-2023,"INR 2,928,093",45.0,Vinod Shyam,23-Dec-2023 02:00 PM,1.pdf (806.00 KB),1.0,382131.0,RAJIV GANGTA GOVT. CONTRACTOR,INR,"3,033,106",Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Vinod Shyam,01-Dec-2023 01:51 PM,finsummary_120167.pdf (186.96 KB),PWD,2023_PWD_80699_11,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,"Improvement of Mandroli Kuri Kharyana Road in K.M. 0/00 to 5/500, ROFD in K.M. 0/195 to 1/465 and C/o culver with wing wall at R.D. 0/695 and C/o, B/Wall at R.D. 1/300 to 1/323, 1/382 to 1/405 and 1/450 to 1/460"
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,2.0,382131.0,RAJIV GANGTA GOVT. CONTRACTOR,02-Nov-2023 06:45 PM,Accepted-AOC,Lowest bidder to awarded the work,23-Dec-2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
