Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,Providing protection work on Rathiar Mankot road Km. 0/0 to 3/100 (SH Construction of Breast walls and Retaining wall at various Rds),Providing protection work on Rathiar Mankot road Km. 0/0 to 3/100 (SH Construction of Breast walls and Retaining wall at various Rds),Please refer Tender documents. ,NA ,"26,20,058",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,24-Dec-2021 10:00 AM,30-Dec-2021 11:30 AM,24-Dec-2021 10:00 AM,30-Dec-2021 11:00 AM,NA ,NA ,24-Dec-2021 10:00 AM,30-Dec-2021 11:00 AM,21-Jan-2022 11:30 AM,"52,410",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,"No,PWC-WA-11- 12326-425 dated 14.12.2021",2021_PWD_54997_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,19-Jan-2022 01:13 PM,21-Jan-2022 11:30 AM,techsummary_82477.pdf (201.35 KB),PWD,2021_PWD_54997_6,"No,PWC-WA-11- 12326-425 dated 14.12.2021",Providing protection work on Rathiar Mankot road Km. 0/0 to 3/100 (SH Construction of Breast walls and Retaining wall at various Rds),26-Dec-2023,"INR 2,620,058",60.0,Rajeev Kumar,26-Dec-2023 04:26 PM,406-12drsn.pdf (1639.00 KB),Providing protection work on Rathiar Mankot road Km. 0/0 to 3/100 (SH Construction of Breast walls and Retaining wall at various Rds),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,24-Mar-2022 01:22 PM,finsummary_82477.pdf (295.56 KB),1.0,253242.0,Darshan Kumar,29-Dec-2021 09:18 PM,Accepted-AOC,Work completed,26-Dec-2023,Technical,BOS,Jeet Singh Thakur,14-Jan-2022 05:02 PM,technical_82477.pdf,Finance,BOS,Jeet Singh Thakur,24-Mar-2022 01:15 PM,finance_82477.pdf,BOQ Comparative Chart,1.0,253242.0,Darshan Kumar,INR,"2,198,876"
,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,252553.0,Deepak Handa,29-Dec-2021 08:13 PM,Rejected-Finance,Being a 2nd lowest,24-Mar-2022,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Detail of ongoing work/Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,HP.PWD form -7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
