S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,PWD,PW-KD-E-Tender/2023-24- 4724-28 Dated 26-10-2023,2023_PWD_80813_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD DIVISION KOTKHAI,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),350.0,Nil,Nil,No,"19,000",No,fixed,,Nil,Nil,"R/R Damages on Kotla Pali road in K.M. 0/00 to 3/300, C/o, R/Wall at R.D. 2/990 to 3/015","R/R Damages on Kotla Pali road in K.M. 0/00 to 3/300, C/o, R/Wall at R.D. 2/990 to 3/015",Please refer Tender documents. ,NA ,"9,45,101",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,Kotkhai,No ,No,03-Nov-2023 11:00 AM,09-Nov-2023 11:00 AM,03-Nov-2023 11:00 AM,08-Nov-2023 06:00 PM,NA ,NA ,03-Nov-2023 11:00 AM,08-Nov-2023 06:00 PM,29-Nov-2023 04:55 PM,1.0,383245.0,PANKAJ CHAUHAN GOVT. CONTRACTOR,INR,"988,875",23-Dec-2023,"INR 945,101",45.0,Vinod Shyam,23-Dec-2023 02:02 PM,2.pdf (723.00 KB),PWD,2023_PWD_80813_13,PW-KD-E-Tender/2023-24- 4724-28 Dated 26-10-2023,"R/R Damages on Kotla Pali road in K.M. 0/00 to 3/300, C/o, R/Wall at R.D. 2/990 to 3/015",Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,04-Dec-2023 12:43 PM,finsummary_120414.pdf (188.48 KB),Finance,SUMMARY UPLOADED,Akhil Chauhan,04-Dec-2023 12:40 PM,finance_120414.pdf,BOQ Comparative Chart,1.0,383249.0,DEEPAK DHARMAIK,08-Nov-2023 02:08 PM,Rejected-Finance,L2 BIDDER,04-Dec-2023,Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,29-Nov-2023 04:52 PM,29-Nov-2023 04:55 PM,techsummary_120414.pdf (2695.34 KB),Technical,summary uploaded,Akhil Chauhan,29-Nov-2023 04:51 PM,technical_120414.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,383245.0,PANKAJ CHAUHAN GOVT. CONTRACTOR,08-Nov-2023 01:56 PM,Accepted-AOC,Lowest bidder to awarded the work,23-Dec-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
