Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,ICICI BANK,"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Palampur||RE Baner, Jia",HPSEBL/BPHDJ/14/2023-24,2023_HPSEB_81811_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,HPSEBLBPHDJ/14/2023-24,Fabrication of Canopy over D G sets installed at Power House Intake area of Baner Hydel Electric project under Baner Power House Division HPSEBL Jia,Please refer Tender documents. ,NA ,"1,81,690",Civil Works - Others,NA ,Tender,180.0,90.0,Baner Power house Division,176059.0,NA ,NA ,NA ,Baner Power house Division,No ,No,24-Nov-2023 05:00 PM,01-Dec-2023 01:00 PM,24-Nov-2023 05:00 PM,01-Dec-2023 10:00 AM,24-Nov-2023 05:00 PM ,01-Dec-2023 10:00 AM ,24-Nov-2023 05:00 PM,01-Dec-2023 10:00 AM,01-Dec-2023 02:00 PM,Resident Engineer,BANER POWER HOUSE DIVISION HPSEBL JIA,590.0,Nil,Nil,No,"3,000",No,fixed,,Nil,Nil,"Er. Amit Patial, R.E.",Internal,"Er. Amit Patial, R.E. Er. Ashwani Kumar Soni, AE. Er. Achhar Singh, Sh. Rakesh Kumar Supdt Gd-II, Sh Ashwani Kumar, JDM.",Amit Patial,01-Dec-2023 01:31 PM,01-Dec-2023 02:00 PM,techsummary_121693.pdf (203.78 KB),1.0,386500.0,DEEP KUMAR GOVT. CONT.,30-Nov-2023 02:06 PM,Accepted-AOC,Being L1,16-Dec-2023,16-Dec-2023,"INR 158,927",90.0,Amit Patial,16-Dec-2023 11:40 AM,AOC.pdf (600.00 KB),AOC,Finance,Financial Bid Opening Summary,Ashwani Kumar,01-Dec-2023 02:53 PM,finance_121693.pdf,BOQ Comparative Chart,Technical,Techno commercial bid opening summary,Amit Patial,01-Dec-2023 01:26 PM,technical_121693.pdf,"Er. Amit Patial, R.E.",Internal,"Er. Amit Patial, RE. Er. Ashwani Kumar Soni, A.E. Er. Achhar Singh. Sh. Rakesh Kumar Supdt Gd-II. Sh. Ashwani Kumar, JDM.",Ashwani Kumar,01-Dec-2023 03:09 PM,finsummary_121693.pdf (203.65 KB),1.0,386500.0,DEEP KUMAR GOVT. CONT.,INR,"158,927","HPSEBL||CE(Gen) Sundernagar||SE(Gen) Palampur||RE Baner, Jia",2023_HPSEB_81811_1,HPSEBL/BPHDJ/14/2023-24,HPSEBLBPHDJ/14/2023-24
,,.pdf,Terms and conditions,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,386095.0,MILAP CHAND KAPOOR,28-Nov-2023 03:21 PM,Rejected-AOC,L3,16-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Additional terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,386097.0,SURESH KUMAR,29-Nov-2023 04:15 PM,Rejected-AOC,L2,16-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,386102.0,VIJAY KAPOOR,28-Nov-2023 04:12 PM,Rejected-AOC,L4,16-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Cost of Tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
