Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Bank Name
14-Dec-2023,"INR 5,044,789",30.0,Bhupender Singh,14-Dec-2023 12:02 PM,AOC81701_2.pdf (947.00 KB),AOC,ErParveenverma,Internal,ShKamalvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Bhupender Singh,14-Dec-2023 12:01 PM,finsummary_121546.pdf (947.02 KB),ErParveenverma,Internal,ShKamalvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Bhupender Singh,30-Nov-2023 02:39 PM,30-Nov-2023 02:45 PM,techsummary_121546.pdf (843.68 KB),PWD,2023_PWD_81701_2,SD-I-CTR-Tedner-2023- 17780 dt 21-11-23,Restoration of rain damages to MDR-66 and other roads under Shimla sub Division No.1 chotta Shimla /KSC section,1.0,385895.0,lov vij govt contractor,INR,"5,295,011",Finance,Bid opening summary,Bhupender Singh,14-Dec-2023 11:59 AM,finance_121546.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Bhupender Singh,30-Nov-2023 02:34 PM,technical_121546.pdf,1.0,385895.0,lov vij govt contractor,28-Nov-2023 12:48 PM,Accepted-AOC,Awarded,14-Dec-2023,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form(as per Schedule F 6.3),"1,00,900",No,fixed,,Nil,Nil,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,"2,000",Nil,Nil,No,22-Nov-2023 11:00 AM,30-Nov-2023 11:00 AM,22-Nov-2023 11:00 AM,29-Nov-2023 04:00 PM,NA ,NA ,22-Nov-2023 11:00 AM,29-Nov-2023 04:00 PM,30-Nov-2023 02:45 PM,Restoration of rain damages to MDR-66 and other roads under Shimla sub Division No.1 chotta Shimla /KSC section,"Patch work of MDR-66 and other roads of MRR , KSC section at various RDs",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,30.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,PWD,SD-I-CTR-Tedner-2023- 17780 dt 21-11-23,2023_PWD_81701_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Date,Date,,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,385904.0,Satish Kumar Vij,28-Nov-2023 01:37 PM,Rejected-Finance,2nd Lowest,14-Dec-2023,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.26.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
