Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Technical,as per uploaded document,Dalip singh Patial,28-Mar-2023 02:28 PM,technical_106495.pdf,1.0,336326.0,AVNET SOLUTIONS,20-Mar-2023 04:58 PM,Rejected-Finance,L2,15-Apr-2023,1.0,335706.0,Sudha Kumari,INR,"2,916,955",Finance,as per uploaded document,Dalip singh Patial,15-Apr-2023 01:51 PM,finance_106495.pdf,BOQ Comparative Chart,Sh. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,15-Apr-2023 01:53 PM,finsummary_106495.pdf (22.42 KB),10-Dec-2023,"INR 2,948,206",365.0,Dalip singh Patial,10-Dec-2023 05:02 PM,Award247-52.pdf (1279.00 KB),AS PER UPLOADED DOCUMENT,PWD,2023_PWD_70641_1,Elect. Division HPPWD Palampur,"C/O Additional accommodation for newly upgraded100 Bedded Civil Hospital at Shahpur, Distt. Kangra, HP (SH- Providing of Fire Alarm system and P.A. system therein)",Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,28-Mar-2023 02:35 PM,03-Apr-2023 11:30 AM,techsummary_106495.pdf (305.24 KB),PWD,Elect. Division HPPWD Palampur,2023_PWD_70641_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"51,800",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,13-Mar-2023 05:00 PM,21-Mar-2023 11:30 AM,13-Mar-2023 05:00 PM,21-Mar-2023 10:00 AM,NA ,NA ,13-Mar-2023 05:00 PM,21-Mar-2023 10:00 AM,03-Apr-2023 11:30 AM,"1,500",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,Elect. Division HPPWD Palampur,"C/O Additional accommodation for newly upgraded100 Bedded Civil Hospital at Shahpur, Distt. Kangra, HP (SH- Providing of Fire Alarm system and P.A. system therein)","C/O Additional accommodation for newly upgraded100 Bedded Civil Hospital at Shahpur, Distt. Kangra, HP (SH- Providing of Fire Alarm system and P.A. system therein)",Please refer Tender documents. ,NA ,"29,48,206",Electrical Works,NA ,Tender,120.0,365.0,Shahpur in Distt. Kangra,176206.0,NA ,NA ,NA ,Palampur,No ,No
,,,,,2.0,335868.0,Insat Techno Services,20-Mar-2023 05:44 PM,Rejected-Technical,Technically Not Qualified,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,335706.0,Sudha Kumari,20-Mar-2023 09:15 PM,Accepted-AOC,L1,10-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the bidder duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
