Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
28-Jan-2023 09:00 AM,06-Feb-2023 11:30 AM,28-Jan-2023 09:00 AM,06-Feb-2023 11:00 AM,NA ,NA ,28-Jan-2023 03:00 PM,06-Feb-2023 11:00 AM,21-Feb-2023 10:00 AM,1.0,ICICI BANK,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2023-24 Rural road Tarkankar to Chatreta (HP0406VR093) km.0/0 to 1/0,(SH - P/L 30mm thick bituminous concrete in km.0/0 to 1/0,Please refer Tender documents. ,NA ,"13,50,553",Civil Works - Roads,NA ,Tender,120.0,30.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),Executive Engineer,HPPWD Division Kangra,PWD,10036-85 dt.23.1.2023,2023_PWD_67630_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"27,050",No,fixed,,Nil,Nil,Finance,Summary,Sushil Kumar Dhadwal,22-Dec-2023 04:36 PM,finance_101911.pdf,BOQ Comparative Chart,Technical,Summary,Sushil Kumar Dhadwal,20-Feb-2023 01:43 PM,technical_101911.pdf,Er. Sushil Kumar Dhadwal,Internal,"Superintendent (Gr-II) (Estt.) HPPWD, Kangra Superintendent (Gr-II) (Accounts) HPPWD, Kangra, HDM, HPPWD, Divn., Kangra",Sushil Kumar Dhadwal,20-Feb-2023 01:44 PM,21-Feb-2023 10:00 AM,techsummary_101911.pdf (429.32 KB),1.0,320318.0,garg,05-Feb-2023 08:24 PM,Rejected-Finance,Rate quoted higher side of L1,22-Dec-2023,22-Dec-2023,"INR 1,350,553",30.0,Sushil Kumar Dhadwal,22-Dec-2023 04:49 PM,Award.pdf (1803.00 KB),Award,1.0,319955.0,Pritam Singh Thakur,INR,"1,412,628",Er. Sushil Kumar Dhadwal,Internal,A.E. Sudt. Gr-II DHD DAO,Sushil Kumar Dhadwal,22-Dec-2023 04:41 PM,finsummary_101911.pdf (396.40 KB),PWD,2023_PWD_67630_14,10036-85 dt.23.1.2023,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2023-24 Rural road Tarkankar to Chatreta (HP0406VR093) km.0/0 to 1/0
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,319955.0,Pritam Singh Thakur,05-Feb-2023 03:05 PM,Accepted-AOC,Award,22-Dec-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding HMP (Batch type Hot Mix Plant) should be installed within 25 kms from location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
