Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Executive Engineer,HPPWD DIVISION KOTKHAI,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"50,400",No,fixed,,Nil,Nil,"R/R Damages on Kupri Link road in K.M. 0/00 to 1/300, C/o, R/Wall at R.D. 0/291 to 0/304, 0/505 to 0/525, 0/990 to 0/995 and B/Wall at R.D. 0/295 to 0/305, 0/970 to 0/982, 1/020 to 1/035, 1/145 to 1/155","R/R Damages on Kupri Link road in K.M. 0/00 to 1/300, C/o, R/Wall at R.D. 0/291 to 0/304, 0/505 to 0/525, 0/990 to 0/995 and B/Wall at R.D. 0/295 to 0/305, 0/970 to 0/982, 1/020 to 1/035, 1/145 to 1/155",Please refer Tender documents. ,NA ,"25,16,645",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,ICICI BANK,27-Oct-2023 11:00 AM,06-Nov-2023 11:00 AM,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,NA ,NA ,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,28-Nov-2023 03:45 PM,PWD,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,2023_PWD_80699_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,Finance,Summary Uploaded,Vinod Shyam,01-Dec-2023 02:05 PM,finance_120182.pdf,BOQ Comparative Chart,1.0,382065.0,DEEPAK DHARMAIK,02-Nov-2023 01:15 PM,Rejected-Technical,NOT QUALIFIED,28-Nov-2023,Technical,Summary Uploaded,Akhil Chauhan,28-Nov-2023 03:39 PM,technical_120182.pdf,Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contractor",Akhil Chauhan,28-Nov-2023 03:40 PM,28-Nov-2023 03:45 PM,techsummary_120182.pdf (5230.44 KB),1.0,382004.0,Kapish Chauhan,INR,"2,623,945",26-Dec-2023,"INR 2,516,645",45.0,Vinod Shyam,26-Dec-2023 12:48 PM,1.pdf (732.00 KB),PWD,2023_PWD_80699_16,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,"R/R Damages on Kupri Link road in K.M. 0/00 to 1/300, C/o, R/Wall at R.D. 0/291 to 0/304, 0/505 to 0/525, 0/990 to 0/995 and B/Wall at R.D. 0/295 to 0/305, 0/970 to 0/982, 1/020 to 1/035, 1/145 to 1/155",Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Vinod Shyam,01-Dec-2023 02:07 PM,finsummary_120182.pdf (5225.30 KB)
,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382004.0,Kapish Chauhan,01-Nov-2023 09:57 PM,Accepted-AOC,Lowest bidder to awarded the work,26-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,382095.0,VIJAY BRAGTA,02-Nov-2023 03:23 PM,Rejected-Finance,L2 BIDDER,01-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
